stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vasculature
 14-21,0,3,1,0,0,0,0,0,0,0,0,4,1,0,0,2,1,2,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,4.1,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,5.64,0,0.81,0,0,0,1.61,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,0,3.44,0,1.15,0,0,0,1.15,0
 60-70,0,0,0,1.96,0,0,0,0,0.98,0.98,0.98,8.83,0,0,0,0,0,0,0.98
 72-82,0.98,0,0,8.83,0,0.98,0,0,0,0,0,11.78,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,3.19,2.12,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,1.09,1.09,0,3.28,1.09,0,0,1.09,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,2.3,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,1.96,0,0,0,0,0
