stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,heart,melanocytes,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,41.86,0.82,0,0,0.82,13.13,0
 36-46,0,0,0,0,6.45,0,0.81,0,0,0,170.8,0.81,0,0,0,47.53,0
 48-58,0,0.57,0,0,19.51,0,1.72,0.57,0,1.72,223.78,0.57,0,0,0,44.76,0.57
 60-70,0,1.96,0,0,77.54,0,0.98,0,0,0.98,467.2,0.98,0,0,0,55.95,0
 72-82,0,1.96,0.98,0,117.8,0,7.85,0,0,5.89,348.49,2.94,1.96,0,0,42.21,0
 84-94,0,0,0,0,73.28,0,3.19,0,1.06,0,199.66,0,0,0,0,10.62,0
 96-106,0,3.28,0,0,83.06,0,5.46,0,0,3.28,170.48,1.09,0,1.09,0,5.46,0
108-118,0,1.53,0,0.77,46.72,0.77,2.3,0,0,0,195.32,2.3,0.77,0.77,0,8.43,0
120,0,3.92,0,0,39.2,0,7.84,0,0,0,199.9,1.96,0,1.96,0,5.88,0
