stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,gut,mesenchyme,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 60-70,0,0,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,3.93,0,0.98,0.98,11.78,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,4.25,0,0,1.06,13.81,0,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,2.19,1.09,1.09,2.19,22.95,1.09,6.56,1.09,0,0,0,0,0,0,2.19
108-118,0,3.06,0,0,0,41.36,0,6.13,0,0,0,0,0.77,0,0,0
120,0,7.84,1.96,0,0,76.43,0,19.6,0,0,1.96,0,3.92,0,1.96,0
