stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,1,1,0,0,1,0,0,1,0,1,0,4,1,0,0,1,0,3,0,0,0,4,0,0,0,0,0,1,0,0,3,2,0
 24-34,0,0,0,0.82,0.82,0,4.1,0,0,0,0,0,0,9.03,3.28,0,0,0.82,0.82,1.64,0,0,0,13.13,0.82,0,0,0.82,0,0,0,0.82,3.28,10.67,0
 36-46,0,0,0,0.81,0,0,7.25,0,0,0,0,0,0,8.86,0,0,0,0,0.81,2.42,0,0,1.61,27.39,0,0.81,0,5.64,0.81,0,0,0,3.22,5.64,0
 48-58,0,0,0,0.57,0,0,7.46,0,0.57,1.15,0,0,0,18.36,1.15,0,0,0,0,2.3,0,0,0,17.79,0.57,0,0,1.72,0.57,0,0,0,1.15,8.03,0.57
 60-70,0,0,0,2.94,0,0,11.78,0,0,2.94,0,0,0,18.65,0,0,0,0,0,0.98,0,0,0,9.82,2.94,0,0,15.7,0,0,0,0,0,8.83,0
 72-82,0,0,0,5.89,0.98,0,7.85,0,0,4.91,0,0,0,37.3,0.98,0,0,0,0,7.85,0.98,0,0.98,15.71,1.96,0,0,46.14,0,0,0,0,0.98,9.82,0.98
 84-94,0,0,0,3.19,0,0,8.5,3.19,0,5.31,2.12,0,0,50.98,3.19,1.06,0,0,0,7.43,0,0,0,4.25,0,0,0,137,0,0,0,0,2.12,18.05,1.06
 96-106,0,0,0,13.11,0,0,12.02,4.37,0,5.46,4.37,0,0,59.01,5.46,3.28,0,0,0,5.46,2.19,1.09,3.28,18.58,1.09,0,0,283.05,0,0,0,0,1.09,9.84,0
108-118,0,0,0,15.32,1.53,0.77,6.13,2.3,0.77,3.06,3.06,0,0.77,49.79,3.06,0,0.77,0.77,0.77,7.66,2.3,0,0.77,13.79,0,1.53,0,230.55,0,0,1.53,0,0.77,15.32,0
120,0,0,0,9.8,0,0,7.84,3.92,1.96,1.96,0,0,1.96,68.59,11.76,0,0,1.96,0,0,0,0,0,27.44,0,0,0,227.34,0,0,0,0,0,3.92,0
