stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,5.26,0,0,0,26.29,0,0,0,13.14,0,0,0,0,0,0,0,0,99.89,5.26,0,63.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,135.32,15.73,0,47.2,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,1,0,6,0,1,0,2,0,0,0,0,0,12,0,8,100,4,1,5,0,1,43,0,1,48,20,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,9.03,0,4.93,45.15,0,0.82,0,0,2.46,0,0,0,9.85,3.28,0,0,0,22.98
 36-46,0,0,0,0,0,0,0,3.22,0.81,2.42,0,0,0,0,0,0,0,10.47,0,1.61,24.98,0.81,0.81,0,0,1.61,0,0,0.81,0,3.22,0,0,0,90.23
 48-58,0,0,0,0,0,0,0,5.16,0,1.15,0.57,0,0.57,0,1.15,0,0.57,8.03,0.57,2.3,14.35,0.57,0,0,0,0,0,0,0,0,2.3,0,0.57,0,73.45
 60-70,0,0,0,0,0,0,0,8.83,0,0.98,0,0,0,0,0,0,0,4.91,0,0.98,8.83,0,0,0,0,0,0,0,0,0,2.94,0.98,0.98,0,77.54
 72-82,0,0,0,0,0,0,0,9.82,1.96,4.91,1.96,0,0,0,1.96,0,0,9.82,0,1.96,11.78,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,101.11
 84-94,0,0,0,0,0,0,1.06,6.37,0,2.12,0,0,0,0,2.12,0,0,11.68,1.06,0,3.19,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,48.85
 96-106,0,0,0,0,4.37,0,0,12.02,0,5.46,0,0,0,0,0,0,0,13.11,1.09,2.19,10.93,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0,1.09,83.06
108-118,0,0,0.77,0,0.77,0,0,3.06,1.53,3.06,1.53,0,0,0.77,0.77,0,0,9.96,0,2.3,6.89,0,0.77,0,0,0,0,0,0,0,0.77,0,0,0,82.72
120,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0,0,35.28
