stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1858.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,134.85,1716.3,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,12.26,0,0,30.65,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,13.14,47.32,0,42.06,0,2.63,92,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,885.88,44.69,0,0,391.68,0,7.89,13.14,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,44.06,0,6.29,72.38,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,679.75,12.59,0,0,311.55,0,0,3.15,0,28.32,0,0,0,0,0,0
 14-21,0,0,0,7,40,14,25,0,0,10,2,2,1,1,2,0,0,0,0,23,0,0,15,309,2,1,2,7,0,14,0,35,0,1,10,90,4,0,0
 24-34,0,0,0,0.82,13.13,6.57,77.98,0,0,4.1,0.82,0,1.64,0.82,0.82,0,1.64,0.82,0,50.89,0,1.64,14.78,458.86,2.46,3.28,6.57,0,0,13.13,0,0,2.46,0,2.46,87.83,6.57,0,0
 36-46,0,0,0,0,3.22,2.42,158.72,0,0,8.06,0,0.81,1.61,0,0,0,1.61,0,0.81,41.89,0,3.22,10.47,301.32,0.81,4.83,1.61,0,0,8.86,0,0,0,0,0,61.23,1.61,0,0
 48-58,0,0,0,0,5.16,1.15,139.43,0,1.15,8.03,0.57,4.59,0.57,0.57,0,1.15,1.15,0.57,0,43.04,0.57,1.72,8.03,106.73,0.57,0,0,0,0,1.72,0,0.57,0.57,0,0,18.94,1.72,0,0.57
 60-70,0,0,0.98,0,9.82,0.98,85.39,0,0.98,12.76,0,0,0,3.93,0.98,0,1.96,0,0,27.48,1.96,1.96,5.89,60.85,0,0,0.98,0,0,0.98,0,0,0.98,0,0,1.96,2.94,0,0
 72-82,0,0,0,0,6.87,0,27.49,0,2.94,10.8,0,0,0.98,0.98,1.96,0,0.98,0,0,25.52,0,0.98,5.89,52.03,0,0.98,0.98,0,0.98,3.93,0,0,0.98,0,0,2.94,2.94,0,0
 84-94,0,0,0,0,7.43,2.12,31.86,0,1.06,10.62,3.19,2.12,0,8.5,2.12,1.06,0,1.06,0,24.43,1.06,5.31,2.12,42.48,1.06,2.12,1.06,0,0,1.06,0,0,0,0,0,3.19,3.19,3.19,0
 96-106,0,0,0,0,7.65,0,17.49,0,0,9.84,2.19,0,0,3.28,1.09,0,1.09,0,0,8.74,0,1.09,0,42.62,0,0,0,0,0,4.37,0,0,0,0,0,1.09,2.19,0,1.09
108-118,0,0,0,0,3.83,1.53,16.09,0,0,8.43,1.53,0,0,1.53,0.77,0.77,1.53,0,0,9.96,0,0.77,3.06,51.32,0,0.77,0,0,0,3.06,0,0,0.77,0,0,0.77,1.53,0,0.77
120,0,0,0,0,7.84,7.84,19.6,1.96,0,9.8,1.96,0,0,3.92,0,0,0,1.96,0,9.8,0,0,9.8,37.24,0,0,0,0,0,0,0,0,0,0,0,0,3.92,1.96,0
