stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,22.16,0,0,4.1,5.75,13.13,0,0.82,0,0,0,0,0,0,3.28,18.06,0,0,0,0
 36-46,0,0,4.03,0.81,0,0.81,0,0,0,0.81,0,0,0,0,0.81,0,91.85,0,0,9.67,13.7,23.36,0,0,0,0,0.81,0.81,0,0.81,0,23.36,0,0,0,0
 48-58,0,0,6.89,0.57,0,5.74,0,0,0.57,15.49,0,0,0,0,0,0,223.78,0,0.57,18.94,21.8,20.08,0,1.15,0,0,1.15,0,0,0,0,29.26,0.57,0,0,0.57
 60-70,0,0,8.83,0,0,14.72,0,0.98,0.98,57.91,0,1.96,0.98,0,0,0,430.89,0,0,14.72,21.59,22.58,0,0.98,0,0.98,0,0,0,1.96,0,18.65,0.98,0,0,0
 72-82,0,0.98,0.98,0,0,23.56,0,0,0,71.66,0,0,0.98,0,1.96,0,497.7,0,1.96,16.69,26.5,28.47,0,3.93,0,0,0,0,0,0,0,25.52,6.87,1.96,4.91,0
 84-94,0,0,14.87,1.06,0,27.61,0,0,0,33.99,0,0,0,0,2.12,0,330.29,0,1.06,9.56,9.56,30.8,0,3.19,0,0,1.06,0,0,0,0,16.99,5.31,0,2.12,0
 96-106,0,0,10.93,2.19,1.09,15.3,1.09,0,0,39.34,1.09,2.19,0,0,2.19,0,249.17,0,1.09,7.65,37.16,33.88,2.19,3.28,0,0,2.19,0,1.09,0,0,26.23,1.09,0,1.09,0
108-118,0,0,2.3,3.06,0,7.66,0,0,0,30.64,0,0,0,0.77,1.53,2.3,181.53,0.77,0.77,6.13,18.38,44.43,0,3.83,0,0.77,0.77,0,0,0,0,13.02,3.83,0,0.77,0
120,0,0,3.92,0,0,19.6,0,0,0,39.2,0,0,0,0,0,0,123.47,0,1.96,3.92,21.56,52.91,1.96,1.96,0,0,1.96,0,0,0,0,9.8,3.92,0,0,0
