stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,6,2,2,0,0,0,0,1,2,0,2,2,0,0,0
 24-34,4.1,3.28,0,4.1,0,0,0,2.46,0.82,0,0,0,0,0.82,0,21.34,0,11.49,10.67,2.46,0,0,0,2.46,0,1.64,0,1.64,4.1,0,0.82,0
 36-46,0,3.22,0,3.22,0,0,0,1.61,0,0.81,0,0,0.81,0.81,0,18.53,0,6.45,4.03,3.22,0,0.81,0.81,0.81,0,0,0,0,4.03,0,0.81,0
 48-58,0,1.15,0.57,2.87,1.15,0,0,0.57,0,0,0,0,0,0.57,0,10.9,0.57,2.3,2.87,1.15,0,0.57,0.57,0,0,0,0.57,0,2.3,0,0.57,0
 60-70,0,0,0,2.94,0.98,0,0,2.94,0,0,0,0,0,0,0,21.59,0,0,2.94,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98,0
 72-82,0,0.98,2.94,2.94,0,0,0.98,2.94,0,0,0,0,0,0,0,15.71,0.98,0,4.91,0,0,1.96,0,0,0,0,0,0,0,2.94,1.96,2.94
 84-94,0,1.06,1.06,4.25,0,1.06,0,0,0,1.06,1.06,0,0,0,1.06,8.5,3.19,1.06,3.19,0,0,0,0,0,0,0,1.06,0,2.12,1.06,2.12,0
 96-106,0,0,4.37,4.37,0,1.09,0,1.09,0,0,0,0,0,0,0,7.65,1.09,1.09,2.19,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,3.06,0,0,0.77,2.3,0,0,0,0.77,0.77,0,0,6.89,0,0,0.77,0,0.77,0.77,0,0,0,0.77,0.77,0,0,0,0,1.53
120,0,3.92,0,0,0,0,0,1.96,0,0,0,0,0,0,0,7.84,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0
