stage,blastomeres,endoderm,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,ionocyte,iridophores,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,13.14,0,0,13.14,0,0,0,0,0,115.66,34.17,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,3.15,0,0,0,0,0,69.23,25.18,0,3.15,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,4.03,0,0,0,0
 48-58,0,0,0.57,0,1.15,0.57,0,0,0,0,0,0,0.57,2.87,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,1.09,0,0,1.09,1.09,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
