stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,5.75,1.64,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,26.97,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,1.72,0,0,1.15,5.16,0,0,0.57,0.57,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,660.56,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,7.85,0,0,0,14.72,0,0,1.96,0,0.98,0,0,0,5.89,0.98,0.98,1.96,0,0
 72-82,0,0,0,20.61,1.96,0,2351.08,0,0,2.94,52.03,1.96,0,1.96,1.96,0.98,0,0,1.96,0.98,27.49,0,1.96,0,127.62,0,0,2.94,0.98,2.94,0,0.98,0,3.93,0,0,0,1.96,0
 84-94,0,1.06,0,44.61,3.19,0,1873.43,3.19,6.37,0,61.6,2.12,0,0,1.06,0,2.12,0,0,0,24.43,1.06,2.12,4.25,97.71,2.12,0,0,1.06,4.25,0,1.06,0,6.37,0,1.06,3.19,3.19,1.06
 96-106,0,0,0,22.95,4.37,1.09,1968.22,1.09,2.19,0,57.92,3.28,0,4.37,3.28,0,0,1.09,1.09,0,32.79,2.19,1.09,4.37,104.91,1.09,2.19,1.09,2.19,10.93,1.09,1.09,0,2.19,1.09,1.09,2.19,1.09,3.28
108-118,0,0.77,0,13.02,0.77,0,1352.69,0,1.53,1.53,36,1.53,0,0,3.06,0.77,0.77,0,0.77,0,22.98,0.77,4.6,4.6,75.83,2.3,0.77,1.53,0,3.06,0.77,0,0,0,0.77,0,1.53,3.83,0.77
120,0,0,1.96,15.68,1.96,0,1117.08,0,0,0,25.48,3.92,0,0,0,0,0,0,0,1.96,11.76,1.96,0,3.92,88.19,0,1.96,1.96,0,7.84,0,0,0,3.92,0,0,1.96,0,0
