stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,29,1,0,68,0,0,0,0,0,0,0,4,0,0,0,17,0,0,11,98,1,0,4,0,0,1,1,16,3,90,0,0,0,0,1
 24-34,0.82,0,0,0,55.82,2.46,0,190.44,0.82,0,0,0,9.03,0,0,18.06,0,0.82,1.64,92.76,0.82,0.82,54.18,347.22,0.82,0.82,5.75,0,0.82,3.28,0,25.45,0,203.57,0,0,1.64,0,1.64
 36-46,0,0,0,0,3.22,0.81,0,124.88,0,0,4.03,0.81,18.53,0,0,23.36,0,0,0,173.22,0.81,6.45,41.89,244.12,0,3.22,2.42,0,0,0.81,0,16.11,0,178.05,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,105.58,0,0.57,1.72,0,12.62,0,0.57,43.04,0,0.57,0.57,146.89,0,0,42.46,146.89,0,0,2.87,0,0,1.15,0,14.35,0,64.27,0,1.15,1.15,0,1.15
 60-70,0,0,0,0,0,0,0,92.26,0,0,10.8,0,4.91,0,0,80.48,0,1.96,1.96,121.71,0.98,0,32.39,115.82,0,0,0,0,0.98,0,0,10.8,0,31.41,0,1.96,0.98,0,0
 72-82,0,0,0,0,4.91,0,0,71.66,0,0.98,45.16,0.98,0.98,0,0,61.84,0,2.94,0.98,159.03,0,0.98,31.41,138.41,0,0,0,0,3.93,0,0,9.82,0,23.56,0.98,1.96,0,1.96,0
 84-94,0,0,0,0,5.31,0,0,110.45,0,1.06,38.23,1.06,3.19,0,0,80.71,0,5.31,1.06,103.02,1.06,4.25,32.92,97.71,0,1.06,2.12,0,1.06,0,0,19.12,0,14.87,0,6.37,0,0,2.12
 96-106,0,0,0,0,9.84,0,0,66.66,1.09,0,56.83,0,0,1.09,0,62.29,1.09,5.46,0,88.52,1.09,1.09,21.86,89.61,0,1.09,2.19,0,7.65,1.09,0,7.65,0,14.21,0,4.37,0,0,0
108-118,0,0,0.77,0,9.96,0.77,0.77,60.51,0,0,55.15,0.77,0,1.53,0.77,68.17,0,9.19,0,78.13,0,1.53,16.85,61.28,0,0,0,0,7.66,0,0,0,0,3.06,0,1.53,0,0,0
120,0,0,0,0,3.92,1.96,0,39.2,1.96,0,37.24,1.96,3.92,0,0,50.95,0,3.92,0,68.59,0,0,13.72,70.55,0,0,0,0,3.92,0,0,1.96,0,5.88,0,1.96,0,0,0
