stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0,1.64,24.63,0,0.82,0,0,0,11.49,0,0,0
 36-46,0,0,0.81,0,3.22,0,0.81,0,0,0.81,0.81,0,0.81,38.67,0.81,0,0,0,0,18.53,0,0,0
 48-58,0,0,0.57,0,2.3,0,0.57,0,0,0,0.57,0,0,48.2,0,0,0,0,0,10.9,0,0,0
 60-70,0,0,0,0,3.93,0,0.98,0,0,0,1.96,0,0,39.26,0,0,0,0,0,9.82,0,0,0.98
 72-82,0,0,0.98,0,2.94,0.98,3.93,0,0.98,0,0.98,0,0,39.27,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,1.06,9.56,0,2.12,0,0,0,1.06,1.06,1.06,23.36,0,0,0,1.06,0,1.06,0,0,1.06
 96-106,0,0,0,0,4.37,0,2.19,0,0,0,1.09,0,0,33.88,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,1.53,7.66,0,1.53,0,0,0,0.77,0,0.77,33.7,0,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,3.92,0,3.92,1.96,0,0,0,0,0,37.24,0,0,0,0,0,0,0,0,0
