stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869.74,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,649.74,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,13.14,0,0,44.69,0,0,0,5.26,0,0,0,0,0,0,0,0,0,207.67,2.63,0,0,81.49,94.63,0,0,0,0,0,0,0,0
 10-12,0,28.32,3.15,0,3.15,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,336.73,9.44,0,0,107,44.06,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,18,2,2,0,0,0,0,0,0,1,0,0,1,4,0,2,9,0,0,0,0,494,0,0,0,1,3,0,0,0
 24-34,0,0,0,7.39,0,4.93,0,0.82,0,0,0,0,4.1,0,2.46,5.75,5.75,0,0.82,23.8,0.82,9.85,0.82,0,573.78,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,4.03,0,1.61,1.61,0,0,0,0,0,2.42,0,0.81,0.81,3.22,0,0.81,27.39,0,0.81,0.81,0,423.78,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,15.49,0,6.89,2.3,1.15,0.57,0.57,0,0,0,0,1.72,2.3,0.57,0,0.57,11.48,0,1.15,0,0,227.23,0,0,0,0,5.74,0,0.57,0.57
 60-70,0,0,0,34.35,0,9.82,0,1.96,0,0.98,0,0,0,0,2.94,1.96,0.98,0,0,8.83,0,0,0,0,182.56,0,0,0,0,0.98,1.96,0,0
 72-82,0,0,0,57.92,0.98,5.89,0,0.98,0.98,0,0,0,1.96,0,4.91,0.98,0,0.98,0,13.74,0.98,0,0,0,155.1,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,74.34,1.06,3.19,6.37,2.12,2.12,0,0,0,3.19,0,5.31,0,4.25,0,1.06,8.5,0,4.25,0,0,389.77,0,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,90.71,0,4.37,3.28,1.09,9.84,0,0,1.09,0,0,6.56,2.19,3.28,0,0,8.74,0,3.28,0,0,194.53,0,0,0,0,0,0,0,0
108-118,0,0,0,68.94,0,3.83,2.3,0.77,5.36,0,0,0,0.77,0.77,2.3,5.36,5.36,0,1.53,6.13,0,1.53,0,0,146.3,0,0.77,0.77,0,0,1.53,0.77,0
120,0,0,0,35.28,3.92,0,1.96,0,1.96,0,1.96,0,0,0,1.96,1.96,1.96,0,1.96,9.8,0,0,0,0,78.39,0,0,0,0,0,0,0,0
