stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,144.58,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805.62,0,0,0,31.47,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,1201,1,6,0,8,0,0,0,1,4,0,0,0,0,20,2,0,4,50,2,0,5,0,0,4,0,6,0,14,4,0,0,0,0,0
 24-34,0,0,0,0,922.64,0,9.85,0,80.44,13.13,2.46,1.64,0,1.64,0,0.82,1.64,0,149.4,10.67,0.82,36.12,178.95,9.85,0.82,10.67,0,0,3.28,0,0,0,9.03,17.24,0,0,5.75,0,0.82
 36-46,0,0,0,0,422.17,0,3.22,0,91.04,16.11,21.75,0,0,1.61,0.81,0,0,0,180.47,6.45,0.81,37.06,223.17,12.89,2.42,8.06,0,0,3.22,0,0,0,0,31.42,0,0,2.42,0,0
 48-58,0,0,0,0,263.38,0.57,17.79,0,88.37,16.64,61.97,0,0,0.57,0,2.3,0,0,325.35,1.15,0.57,21.23,105.01,8.61,2.3,11.48,0,0,1.72,0,0,0,0,19.51,0,0.57,0.57,0,0
 60-70,0,0,0,0,156.06,0,8.83,0,72.63,15.7,125.63,0,0,0,0,1.96,0.98,0,458.37,2.94,0,19.63,46.13,6.87,1.96,5.89,0,3.93,0,0,0,0,0,10.8,0,2.94,0.98,0,0
 72-82,0,0,0.98,0.98,87.37,2.94,23.56,0.98,46.14,26.5,137.43,0,0,2.94,0.98,1.96,0,0,577.22,3.93,0.98,17.67,35.34,7.85,5.89,13.74,0,0,1.96,0,0,0,0,3.93,0.98,2.94,1.96,0.98,0
 84-94,0,0,0,0,163.55,1.06,30.8,0,57.35,12.74,93.46,0,0,0,3.19,2.12,0,1.06,379.15,1.06,0,10.62,20.18,18.05,3.19,9.56,0,1.06,1.06,0,0,0,0,6.37,0,0,0,0,0
 96-106,1.09,0,0,0,104.91,1.09,21.86,1.09,51.36,19.67,88.52,1.09,0,2.19,4.37,0,0,0,292.88,1.09,2.19,6.56,26.23,15.3,6.56,16.39,0,0,3.28,1.09,0,0,0,4.37,0,2.19,0,0,0
108-118,0,0,0,0,85.02,0,9.96,0.77,45.19,13.79,78.89,0.77,0,0,2.3,0,0,0,233.62,0,0,3.83,29.11,11.49,5.36,11.49,0,1.53,1.53,0,0,1.53,0,0.77,0,3.83,0.77,0.77,0
120,0,0,0,0,72.51,0,11.76,0,27.44,11.76,94.07,0,0,0,0,0,0,0,145.02,0,0,7.84,27.44,11.76,0,9.8,0,0,1.96,0,0,0,0,3.92,0,3.92,0,0,1.96
