stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,10.67,0,0,0.82,0,0.82,0
 36-46,0,0.81,0,0,3.22,0.81,0.81,0,0,0,0,0,0,0,0,0,0,1.61,4.03,0,0,0.81,0.81,0.81,0
 48-58,0,0,0,0,3.44,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0,0,4.59,0,0,0,0,0,0
 60-70,0,0.98,0.98,0,4.91,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,7.85,0,0,2.94,0,0.98,0
 72-82,0,0,0.98,0,3.93,0.98,0,0,1.96,0,0,0,0,0,0,0.98,0,0,6.87,0,0,0,0,0.98,1.96
 84-94,0,1.06,0,0,3.19,0,1.06,0,1.06,0,0,0,0,0,0,0,1.06,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,0,0,0,1.09,0,0,1.09,0,3.28,0,0,4.37,0,0,1.09,0,0,0
108-118,0,0,0,0.77,2.3,0,0.77,0,0,0,0,0,1.53,0,0,0.77,0,0,2.3,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,9.8,1.96,0,0,0,0,0
