stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,47.2,3.15,0,0,31.47,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,396,43,1,9,0,1,4,0,0,0,0,0,51,2,0,54,37,1,4,2,0,0,1,43,0,1,266,40,0,0,4,0,0
 24-34,0,0,0,96.86,9.03,8.21,68.13,22.16,0.82,2.46,0,1.64,0,0,0,67.31,1.64,0,132.16,28.73,2.46,13.13,0,0,0,0,0,0.82,0.82,33.66,42.68,0,0,15.6,0,0
 36-46,0,0,0,2.42,0,7.25,20.95,42.7,0.81,0,0,1.61,0,0,0,145.02,0,0.81,94.26,39.48,0,5.64,0.81,0,0,0,0,0,0,0.81,37.06,0,0,6.45,0,0.81
 48-58,0,0,0,1.72,0,16.07,10.9,28.69,1.72,0,0,0,0,0,0.57,125.09,0,0,63.12,32.71,0,1.72,0,0,0,0,0,0.57,0.57,0,21.23,0,0,2.3,0.57,0
 60-70,0,0,0,1.96,0,11.78,4.91,27.48,2.94,0,0,0,0,0,0,98.15,0,0.98,32.39,37.3,0,5.89,0,0,0,0,0,0,0,0,7.85,0,0.98,1.96,0.98,0
 72-82,0,0,0,0,0,21.6,1.96,30.43,25.52,0,0,3.93,0.98,0,0,105.04,0,0,27.49,60.86,0,0.98,0,0,0,0,0,0.98,0,0,15.71,0,0.98,3.93,0.98,0
 84-94,0,0,0,0,0,24.43,11.68,22.3,14.87,1.06,0,0,2.12,1.06,0,81.78,0,1.06,26.55,23.36,0,1.06,0,0,0,0,0,0,0,0,21.24,1.06,1.06,2.12,0,0
 96-106,0,0,0,0,1.09,13.11,2.19,9.84,20.76,0,0,2.19,1.09,0,0,60.11,1.09,3.28,14.21,36.06,0,3.28,1.09,0,1.09,0,0,0,0,0,9.84,0,0,0,1.09,0
108-118,0,0,0,0.77,0,16.85,1.53,16.09,19.15,0,0,1.53,0.77,0,0,40.6,0,0.77,12.26,32.17,0,2.3,0.77,0,0,0,0,0.77,0,0,9.19,0,0.77,2.3,0,0
120,0,0,0,1.96,1.96,13.72,0,7.84,15.68,0,0,3.92,0,0,0,39.2,0,0,5.88,33.32,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0
