stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,4,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,13.13,0,0,0,0,3.28,0,0,5.75,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,2.42,0,0,0.81,0,4.03,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0.57,0,0,0,0,1.72,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,1.96,5.89,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0,7.85,0,0.98,0,1.96,0,0,0.98,0,2.94,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,1.06,0,1.06,0,0,1.06,1.06,0,0,1.06,0,1.06,0,12.74,1.06,0,1.06,0,0,1.06,2.12,0,11.68,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,2.19,0,0,1.09,0,2.19,0,0,1.09,2.19,0,0,0,9.84,0,0,0,0,0,0,0,0,10.93,1.09,0,0,0,1.09,0,0
108-118,0,0,0,6.13,0,0,0,0.77,1.53,1.53,0,0.77,0,0.77,0.77,0,8.43,0,0,0,0,0,0,0,0.77,5.36,0,0.77,0,0.77,1.53,0.77,0
120,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0
