stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,18,0,1,0,0,2,2,0,0,3,9,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,6.57,0,0,0,0.82,1.64,0,2.46,0,0.82,0,0,0.82,0,6.57,0.82,0,2.46,33.66,3.28,0,0,0,8.21,0,0,0,1.64,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0.81,0,4.83,0.81,0,0,3.22,0,0,0,0,0,0,0.81,0,0,5.64,0.81,0,1.61,17.72,2.42,0,0.81,0,7.25,0,0,0.81,0,7.25,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,0,10.9,0.57,0.57,1.15,4.02,0,0,0,0,0,0,0,0,0,6.31,0.57,0,1.15,20.66,0.57,0.57,0,0,5.74,0,0,0,0,4.59,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,0,6.87,0,2.94,0,1.96,0,0,0,0,0,0.98,0,0,0.98,15.7,0,0,1.96,11.78,0,0.98,1.96,0,5.89,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0.98,11.78,0,0.98,0,3.93,0,0,0,0,0.98,0.98,0,0.98,0,16.69,0,0,0.98,11.78,0,0,0.98,0,7.85,0,0,0,0,0.98,0,0.98,2.94,0,1.96
 84-94,0,0,0,0,5.31,3.19,0,6.37,0,3.19,1.06,3.19,3.19,0,1.06,1.06,2.12,0,0,1.06,0,12.74,1.06,1.06,2.12,11.68,1.06,0,2.12,0,22.3,0,1.06,0,0,0,1.06,0,4.25,1.06,0
 96-106,0,0,0,0,4.37,1.09,1.09,4.37,1.09,0,0,2.19,0,0,0,0,3.28,0,0,0,0,5.46,0,0,0,6.56,0,0,2.19,0,8.74,0,0,0,0,1.09,0,0,2.19,1.09,2.19
108-118,0,0,0,0,4.6,0.77,0.77,7.66,0.77,3.06,0,5.36,0.77,0,0,1.53,0,0.77,0.77,0,0.77,12.26,0,0,0,6.13,0,0,3.83,0,6.89,0,0,0,0,0,0,0,0.77,1.53,0
120,0,0,0,0,19.6,1.96,0,5.88,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,1.96,7.84,0,0,3.92,7.84,3.92,1.96,0,0,3.92,0,0,0,0,0,0,0,3.92,1.96,0
