stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,10.51,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,226.58,37.76,0,0,755.27,0,0,9.44,31.47,0,31.47,3.15,0,0,0,0,0
 14-21,0,4,4,0,22,47,22,0,0,0,12,1,1,0,0,0,0,0,0,0,12,0,0,25,974,41,8,1,19,0,0,1089,1,61,1115,1086,0,0,3,0,0
 24-34,0,0,4.1,0,10.67,8.21,149.4,0,1.64,4.1,37.76,0.82,0.82,0,0,1.64,0,0,0.82,0,32.01,0,0,51.71,2738.38,37.76,45.15,3.28,0,0,3.28,4.1,0,3.28,179.77,1086.81,0,0,32.83,0,0.82
 36-46,0,0,2.42,0,2.42,0,508.38,0.81,1.61,7.25,78.15,0,0,0.81,0,0,0,0,0,0,40.28,0,0,24.17,2860.93,43.51,19.34,0,0,0,2.42,0,0,0,0.81,1089.26,0,0,11.28,0,0.81
 48-58,0,0,0,0,7.46,1.15,669.06,1.15,1.72,5.16,144.6,0.57,0,2.3,0,0,0.57,0,0.57,1.72,40.17,0,0,4.02,1946.92,16.64,8.03,1.15,0,0,0.57,0,0.57,0.57,0,668.48,0,0,2.87,0,2.3
 60-70,0,0,0.98,0,6.87,0,540.82,0,0.98,3.93,216.92,0,0,0,1.96,0,0,0,0,0,39.26,0.98,0.98,2.94,1336.83,12.76,2.94,0,0,0,1.96,0,0.98,0,0,348.44,0,0,0.98,0,0
 72-82,0,0,0.98,0,7.85,0,644.95,0,0.98,2.94,296.46,0,0,0,1.96,0,0,0.98,0,0,52.03,0,0.98,2.94,1191.74,3.93,5.89,0.98,0,0.98,3.93,0,0.98,0,0,134.49,0.98,0,0,0.98,0
 84-94,0,0,0,0,14.87,1.06,417.38,0,1.06,3.19,217.72,0,0,0,2.12,2.12,2.12,2.12,0,0,42.48,0,3.19,1.06,639.35,8.5,1.06,0,0,0,6.37,0,0,0,0,93.46,0,0,1.06,1.06,0
 96-106,0,0,2.19,0,15.3,3.28,301.63,1.09,0,3.28,215.29,0,0,1.09,0,1.09,1.09,1.09,2.19,0,72.13,0,1.09,2.19,513.64,3.28,4.37,0,0,0,2.19,0,0,0,0,32.79,1.09,1.09,0,0,0
108-118,0,0,0,0,5.36,1.53,168.51,0,1.53,3.83,176.17,0.77,0,0,1.53,0,4.6,0,0.77,0,42.13,0,1.53,3.83,611.24,2.3,2.3,1.53,0,0,1.53,0,0,0,0,7.66,0.77,0,1.53,0.77,0
120,1.96,0,0,0,13.72,0,141.1,0,0,1.96,135.23,0,0,1.96,0,0,1.96,1.96,0,0,45.08,0,1.96,5.88,476.23,1.96,1.96,0,0,0,1.96,0,0,0,0,13.72,1.96,0,1.96,0,0
