stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,1,0,0,0,64,1,0,0,0,1,0,0
 24-34,0,9.03,0,0,3.28,0,0,0,0.82,0,6.57,0,0,0,0,1.64,0,0,9.03,0.82,0,0.82,0,196.18,0,1.64,0,0,0.82,0,0
 36-46,0,8.06,0,0.81,6.45,0,0.81,0,0,0,4.83,0,0,0,0.81,2.42,0,0,5.64,0,1.61,0,0,245.73,0,0.81,0,0,0,0,0
 48-58,0,7.46,0,4.02,3.44,0.57,0,0,0,0,1.72,0,0,0,2.3,1.15,0,0.57,8.61,0.57,0,0,0,309.85,0,2.87,0,0,0,0,0.57
 60-70,0,24.54,0,4.91,14.72,1.96,0.98,0.98,0,0.98,4.91,0,0,0,1.96,2.94,0,0,6.87,0,1.96,0,0,560.45,0,1.96,0,0,0,0,0
 72-82,0,39.27,0.98,1.96,25.52,0,1.96,0,0,0.98,13.74,0,0,0.98,3.93,14.72,0,0,13.74,0,2.94,0,0,843.25,0,0.98,0,0,2.94,0,0
 84-94,0,71.16,0,2.12,37.17,0,0,0,0,2.12,22.3,0,0,0,1.06,14.87,0,0,2.12,0,3.19,0,0,1561.2,0,1.06,1.06,0,0,0,0
 96-106,0,124.58,2.19,12.02,81.96,3.28,6.56,0,0,3.28,51.36,0,0,0,1.09,33.88,1.09,1.09,28.41,0,1.09,0,0,2308.09,0,2.19,2.19,1.09,0,1.09,1.09
108-118,0,108,0,3.83,68.17,1.53,9.19,0,1.53,4.6,31.4,0,0.77,0.77,2.3,20.68,0,0.77,16.09,0,2.3,0,0,1440.78,0,1.53,0.77,0,0.77,1.53,0
120,0,123.47,0,1.96,80.35,0,1.96,0,0,3.92,29.4,1.96,0,0,1.96,27.44,3.92,0,11.76,0,3.92,0,0,1144.51,0,0,1.96,0,3.92,0,0
