stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.34,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.2,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,0,81.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.37,3.15,0,0,0,0,22.03,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,482,4,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,1,0,0,7,1,0,0,0,0,77,2,0,4,34,0,0,1,0,0
 24-34,0,0,0.82,284.84,0,0,3.28,0,30.37,0,0,0,0,0,8.21,0.82,0,0,0,9.03,4.1,0,4.93,13.95,9.03,0.82,0,0,0,72.24,0,0.82,0.82,36.94,0,0,4.93,0,0.82
 36-46,0,0,0,149.85,0.81,0,2.42,0,25.78,0,0,0,0,0.81,9.67,0.81,0,0,0,8.86,0.81,0,4.83,16.11,6.45,0.81,0,0,0,47.53,0,0,0,23.36,0,0,5.64,0,0
 48-58,0.57,0,0,96.4,0,0,5.74,0,33.28,0.57,1.72,0,0.57,0.57,9.18,0.57,0,0,0,10.9,1.72,0,2.3,12.05,5.74,0.57,0,0,0,29.26,0,0,0,14.35,0,0,2.87,0,0.57
 60-70,0,0,0,125.63,0,0,10.8,0,48.09,2.94,2.94,5.89,0,0,12.76,0,0,0,0,14.72,3.93,0.98,2.94,9.82,1.96,0.98,0,0,0.98,29.45,0,0,0,2.94,0,0.98,0,0.98,0
 72-82,0,0,0.98,166.88,0,0,5.89,0,41.23,0.98,2.94,16.69,0.98,1.96,21.6,0.98,0,0.98,0.98,34.36,3.93,0,0.98,23.56,1.96,0.98,0,0,0.98,28.47,0,0,0,7.85,0,1.96,1.96,0.98,0
 84-94,0,0,1.06,277.19,1.06,0,7.43,1.06,69.03,1.06,3.19,16.99,0,2.12,33.99,1.06,0,0,0,18.05,3.19,4.25,2.12,2.12,5.31,2.12,1.06,0,0,84.96,0,1.06,0,4.25,1.06,4.25,1.06,3.19,0
 96-106,0,0,0,382.5,0,0,8.74,0,79.78,0,4.37,16.39,0,2.19,36.06,3.28,1.09,3.28,2.19,21.86,5.46,3.28,1.09,6.56,1.09,7.65,0,0,0,88.52,0,2.19,0,5.46,1.09,4.37,6.56,5.46,0
108-118,0,0,0,302.56,0,0.77,6.13,0.77,95.75,3.83,3.06,21.45,0,1.53,24.51,4.6,0,0.77,4.6,30.64,5.36,2.3,1.53,16.09,1.53,3.06,0,0,0,58.21,0,0,0,2.3,3.83,3.06,3.06,3.06,0
120,0,0,0,227.34,1.96,0,5.88,0,54.87,3.92,0,3.92,0,1.96,39.2,3.92,0,1.96,1.96,15.68,0,1.96,0,5.88,3.92,5.88,0,0,0,41.16,0,0,0,1.96,1.96,1.96,3.92,0,0
