stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,25.18,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,141.61,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,8,0,0,3,0,1,2,1,1,0,0,1,0,0,0,1,0,1,55,2,1,0,1,1,2,1,0,1,16,0,0
 24-34,0,0,0.82,0.82,0,0,2.46,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0.82,0,23.8,0,0,1.64,0,0.82,0,0,0,0,11.49,0,0
 36-46,0,0,0,0.81,0,0,4.03,0,0,0.81,0,0,0.81,0,0.81,0,0.81,0.81,2.42,0,1.61,21.75,0.81,0,2.42,0,2.42,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0,1.15,0.57,0
 60-70,0,0,0,0,0,0,9.82,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,7.85,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0.98,0.98,0,9.82,0,0,0,0.98,0,0,0,0.98,0,0,0,0.98,0.98,0,9.82,0,0.98,0.98,0,0.98,0,0,0,0,0,1.96,0.98
 84-94,0,0,0,1.06,1.06,1.06,7.43,0,0,0,2.12,0,0,0,0,0,3.19,0,2.12,0,0,10.62,0,0,1.06,0,3.19,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,1.09,2.19,0,3.28,0,0,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0,5.46,0,1.09,1.09,0,4.37,0,0,1.09,0,0,1.09,0
108-118,0,1.53,0,2.3,0.77,0.77,5.36,0.77,0.77,0,3.83,0,0,2.3,0.77,0.77,0.77,0,3.06,0,1.53,8.43,0,0.77,2.3,0,2.3,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,0
