stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,27,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0.82,14.78,0,0,0,0.82,0,0.82,11.49,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0,1.61,0,0,28.2,0,0,0,0,0.81,0,18.53,0,0,0,0,0
 48-58,0,0,0.57,0,0,1.15,1.15,0,0,0,0,0,0,0,61.97,0,0,0,0,0,0,28.69,0,0,0,0,0
 60-70,0,0,0.98,0,0,10.8,1.96,0,0,0,0,10.8,0,0,141.34,0,0,0,0,0,0,49.08,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,25.52,5.89,0.98,0,0,0.98,10.8,0,0,172.77,0,0,0,0.98,0,0,35.34,0.98,0.98,0,0.98,0
 84-94,0,0,0,0,0,23.36,4.25,0,0,1.06,0,6.37,1.06,0,94.52,0,2.12,0,0,0,0,15.93,0,0,2.12,1.06,0
 96-106,0,0,1.09,0,0,21.86,6.56,0,0,0,0,9.84,0,0,71.04,0,0,0,0,0,0,1.09,0,1.09,0,1.09,1.09
108-118,0,0,0.77,1.53,0.77,5.36,3.83,0,0.77,0.77,0,6.13,0,0,111.06,0,0.77,0,0.77,0,0,2.3,0,0,0,2.3,0
120,0,0,0,1.96,0,11.76,7.84,0,0,0,0,11.76,1.96,0,133.27,1.96,0,0,0,0,0,5.88,0,0,0,3.92,0
