stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,31,0,0,0,2,0,2,1,0,5,7,0,0,2,0,0
 24-34,0,0,0,4.93,0,13.95,6.57,0,0,1.64,0,0,0,0,1.64,0.82,0.82,0,0,18.06,0.82,0,4.1,105.07,0.82,0.82,1.64,0,0,6.57,0,0,2.46,18.88,0,0,4.93,0,0
 36-46,0,0,0,3.22,0,23.36,18.53,0,0.81,4.83,0,0,0,0,0,0,0.81,0,0,12.89,0,0.81,4.03,140.19,0,1.61,0,0,0,4.83,0,0.81,0,29,0,0,2.42,0,0.81
 48-58,0,0,0,4.02,0,34.43,12.62,1.15,0.57,8.61,0,0,0,0,0,0,0,0,0,15.49,0.57,0.57,5.16,105.01,0,1.15,0.57,0,0,2.3,0,0,0,15.49,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0.98,53.98,13.74,0,0.98,14.72,0,0.98,0,0,0,0.98,0,0,0.98,12.76,0,0,3.93,116.8,0.98,1.96,0,0,0,7.85,0,0.98,0,12.76,0,0,0.98,0.98,0
 72-82,0,0,0,6.87,0.98,47.12,8.83,0.98,0.98,12.76,0,0,0.98,0,0,0,0.98,0,0,42.21,0.98,0.98,8.83,106.02,0,0,4.91,0,0.98,12.76,0,0,0,5.89,0,0.98,7.85,1.96,0
 84-94,0,0,0,9.56,2.12,38.23,14.87,2.12,1.06,7.43,0,0,1.06,0,0,1.06,1.06,0,0,22.3,0,2.12,7.43,52.04,0,1.06,2.12,0,0,11.68,0,2.12,0,7.43,1.06,0,3.19,1.06,1.06
 96-106,0,0,0,15.3,1.09,31.69,38.25,3.28,0,5.46,2.19,0,0,3.28,0,1.09,0,1.09,0,18.58,0,2.19,12.02,25.14,1.09,2.19,2.19,0,0,18.58,0,4.37,0,1.09,0,3.28,5.46,5.46,1.09
108-118,0,1.53,0,13.79,2.3,20.68,39.83,0,0.77,3.06,2.3,0,1.53,0,1.53,0,0.77,1.53,0,22.21,0,0.77,16.09,54.38,0,2.3,3.06,0,0,6.13,0,3.83,0,0,0.77,0,1.53,0.77,0.77
120,0,0,0,13.72,1.96,33.32,23.52,5.88,3.92,13.72,1.96,0,0,5.88,1.96,0,1.96,0,1.96,29.4,3.92,1.96,9.8,90.15,0,1.96,1.96,0,1.96,7.84,0,0,0,0,0,0,3.92,0,0
