stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,2,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,2,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0
 36-46,0.81,0,1.61,0,0,0.81,0,0,0.81,0,0,1.61,0.81,1.61,4.83,0.81,0.81,0,0,0,2.42,0,1.61
 48-58,0,0,1.15,0,1.15,0.57,0,0.57,0.57,0,0,0.57,2.3,0,4.02,0.57,0.57,0,0.57,0,0.57,0,0
 60-70,0,0,4.91,0,0,2.94,0.98,0,0,0.98,0,5.89,0,0,9.82,0,0,0,0,0,0,0,0.98
 72-82,0,0,2.94,0,0,0,0.98,0,2.94,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,0,0,0,0,0,9.56,0,1.06,2.12,2.12,0,0,0,0,0,1.06,0,0,0,1.06
 96-106,1.09,1.09,0,0,0,0,2.19,0,6.56,0,0,1.09,1.09,0,3.28,0,1.09,2.19,0,0,0,1.09,0
108-118,0.77,0,0.77,0,0,0,3.06,0,6.13,0,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0
120,0,1.96,1.96,0,0,0,3.92,0,1.96,0,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0
