stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,10,0,0,0,0,0,1,2,0,3,0,0
 24-34,0,0.82,0,0,0,1.64,0,0,0,0,0.82,0,0,0,1.64,1.64,44.33,0,0,0.82,0,0,0,0,0.82,18.06,0,0
 36-46,0,0.81,0,0.81,0,1.61,0,0,0.81,4.03,0,0,0,0,5.64,0,160.33,1.61,1.61,0.81,0,0,0,0.81,0,36.26,0,0
 48-58,0,0,0,1.15,0,8.61,0,0,0.57,5.16,0,0,0,0,1.15,0.57,197.96,0,0,0,0,0,0,0,0,34.43,0,0
 60-70,0,0,0,0.98,0,18.65,0,0,0.98,10.8,0,0,0,0,2.94,0.98,248.33,0.98,0,0,0,0.98,0,0,0,26.5,0,1.96
 72-82,0,0,0,0.98,0.98,17.67,0,0.98,0,9.82,0,0.98,0,0.98,5.89,0.98,206.15,0.98,0,0,0,0,0,0,0,21.6,0,0
 84-94,0,0,0,1.06,0,16.99,2.12,0,0,4.25,0,0,2.12,0,7.43,0,111.51,0,1.06,3.19,0,1.06,0,0,0,8.5,1.06,0
 96-106,0,1.09,0,1.09,0,8.74,1.09,0,1.09,6.56,0,0,0,0,3.28,0,104.91,0,0,0,0,0,0,0,0,7.65,0,1.09
108-118,0,0,0,0.77,0.77,13.79,0,0,1.53,9.96,0,0,0,0,7.66,0,102.64,0.77,0,0,0,0,0,0.77,0,3.06,0,0
120,0,0,0,1.96,1.96,9.8,0,0,0,11.76,0,0,0,0,1.96,0,109.75,0,0,0,0,0,0,0,0,3.92,0,0
