stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,18.4,0,0,42.06,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,218.18,15.77,0,0,99.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,18.88,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,185.67,9.44,0,0,66.09,0,0,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,20,5,3,0,0,3,0,2,0,0,1,0,0,0,1,10,0,0,12,68,5,1,1,7,0,0,1,35,1,1,17,26,0,2,0,0
 24-34,0,0,0,0,3.28,1.64,19.7,0.82,0,1.64,0.82,0,0.82,0.82,1.64,0,0,0,1.64,10.67,0,0,6.57,108.35,0,0,2.46,0,0,7.39,0,0,0,0,7.39,27.91,0,3.28,0,0.82
 36-46,0,0,0,0,0.81,0.81,24.98,0,2.42,0.81,0,0,0,0.81,0,0.81,0,0,0,15.31,0,0,2.42,107.96,0.81,1.61,0.81,0,0,5.64,0,0,0.81,0,0,25.78,0,4.83,0,0
 48-58,0,0,0,0,1.72,0,27.54,1.15,1.15,5.74,0,0.57,1.72,0,0,0,0.57,0.57,0.57,13.77,0,0,2.3,79.19,0,0,0.57,0,0,3.44,0,0,0.57,0,0,23.53,0,3.44,0,0
 60-70,0,0,0,0,2.94,0,50.06,0,0,8.83,0,0,0.98,0.98,0.98,0,1.96,0,0.98,34.35,0.98,0,1.96,68.71,0,2.94,1.96,0,0,3.93,0,0,0,0,0,10.8,0,3.93,0,0.98
 72-82,0,0,0.98,0,0.98,2.94,33.38,0.98,1.96,9.82,0,0,0,2.94,0,0,3.93,0,0.98,10.8,0.98,0.98,1.96,58.9,0,0.98,0,0,0,2.94,0,0,1.96,0,0,9.82,0.98,5.89,0.98,0
 84-94,0,0,0,0,6.37,2.12,24.43,3.19,2.12,8.5,1.06,0,0,2.12,2.12,2.12,0,0,2.12,19.12,0,1.06,7.43,27.61,2.12,2.12,2.12,0,0,8.5,0,0,0,0,0,3.19,1.06,3.19,1.06,2.12
 96-106,0,0,0,0,4.37,0,9.84,3.28,0,8.74,1.09,0,2.19,3.28,1.09,0,0,0,0,17.49,1.09,0,0,25.14,0,0,1.09,0,0,6.56,0,0,0,0,0,0,0,2.19,2.19,0
108-118,0,0,0,0,6.13,0,11.49,0.77,0,5.36,3.06,0,0,0.77,1.53,0.77,0,0,0,4.6,0,0,3.06,29.87,0,0.77,4.6,0,0,5.36,0,0,0,0.77,0,0,1.53,1.53,0,2.3
120,0,0,0,0,7.84,1.96,13.72,3.92,1.96,3.92,1.96,0,0,0,0,1.96,1.96,0,0,3.92,0,0,1.96,27.44,0,0,0,0,1.96,5.88,0,0,0,0,0,1.96,0,0,1.96,0
