stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0.82,0,0,0,47.61,0,0,0,4.93,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81,0,91.85,0,0,0,9.67,0
 48-58,0,0,0,0,2.3,0,0,4.59,0,0,0,1.15,0,0,130.83,0,0,0.57,6.89,0
 60-70,0,0,0.98,0,20.61,0,0,20.61,0,0,0,4.91,0,0,217.9,0,0,0,25.52,0
 72-82,0,0,0.98,0,52.03,0,0,15.71,0.98,0,0,6.87,0,0,318.06,0,0,0,18.65,0
 84-94,0,0,1.06,0,32.92,1.06,0,8.5,0,0,0,2.12,1.06,0,124.26,0,0,0,8.5,0
 96-106,0,0,0,0,21.86,0,1.09,10.93,2.19,0,0,5.46,0,0,109.28,0,0,0,5.46,0
108-118,0,0,0.77,1.53,19.92,0.77,0,5.36,0,0,0,2.3,0,0.77,132.51,0,0,0,3.83,0
120,0,0,0,0,37.24,0,0,7.84,0,1.96,0,5.88,0,0,282.21,1.96,0,0,1.96,1.96
