stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,7,1,0,4,0,0,1,0,0,1,0,0,0,0,1,1,0,0,3,30,0,0,2,3,5,0,4,7,0,1,0
 24-34,0,0,0.82,4.1,0,0,3.28,0,0.82,0,0.82,0,0,0,0,0.82,2.46,0.82,2.46,0,0,1.64,10.67,0.82,0,0,13.13,0,0,0,2.46,0,0.82,0.82
 36-46,0,0,0,3.22,0,0,4.03,0.81,0,0.81,2.42,0,0.81,0.81,0,0,2.42,0.81,8.06,0,0,5.64,18.53,0,0,0,24.98,0,0,0,6.45,0,2.42,1.61
 48-58,0,0,0,4.02,0,0,0.57,0,1.15,2.3,0,0,1.15,0,0.57,0,1.15,0,4.59,0,0.57,0.57,4.02,0,0.57,0,4.02,0,0,0,2.87,0,1.15,0.57
 60-70,0,0,0,7.85,0,0,0.98,0,0.98,1.96,4.91,0,2.94,0,0.98,0,1.96,0,8.83,0.98,0.98,1.96,5.89,0.98,0,0,8.83,0,0,0,0.98,0,2.94,0
 72-82,0,0,0,2.94,0,0,0,0,0.98,2.94,5.89,0,0,0,0,1.96,0.98,0,4.91,0,1.96,2.94,5.89,0,0,0,4.91,0,1.96,0,0,0,0,0
 84-94,0,1.06,0,20.18,0,0,9.56,0,1.06,4.25,41.42,1.06,1.06,0,0,1.06,3.19,0,16.99,2.12,0,4.25,6.37,1.06,1.06,0,32.92,0,1.06,0,1.06,1.06,1.06,0
 96-106,0,0,0,5.46,0,0,14.21,2.19,0,4.37,24.04,1.09,1.09,0,2.19,1.09,1.09,0,21.86,0,0,6.56,9.84,1.09,1.09,0,6.56,0,0,0,0,0,2.19,0
108-118,0,1.53,0,16.85,0.77,0.77,5.36,1.53,0,3.06,34.47,0,3.06,0.77,0,0.77,3.83,0,19.92,0,0,4.6,22.21,0.77,0,0,19.15,0,0.77,0,0,1.53,0,0.77
120,0,0,0,9.8,0,0,1.96,0,0,5.88,21.56,0,7.84,0,0,1.96,1.96,0,9.8,0,0,3.92,11.76,0,0,0,1.96,0,0,0,0,0,0,0
