stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1648.87,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,39.43,39.43,0,0,113.03,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,862.22,21.03,0,0,310.19,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,18.88,0,0,56.65,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,355.61,9.44,0,0,154.2,0,0,0,0,25.18,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,42,9,21,0,0,0,10,2,0,1,0,2,0,0,2,17,0,0,16,216,5,1,4,12,0,4,1,68,2,0,39,57,0,0,2,0,0
 24-34,0,0,0,5.75,0,22.16,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0.82,0,12.31,0,0,0.82,114.1,0.82,0.82,2.46,0,0,12.31,0,0,1.64,0,2.46,22.16,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,18.53,0,0,0,0.81,0,0,0,0,0,0,0,0,7.25,0,0,0,38.67,0,0.81,0.81,0,0,5.64,0,0,0,0.81,0,7.25,0,0,0,0,0
 48-58,0,0,0.57,1.15,0,16.64,0,1.15,0,1.15,0,0,0,0,0,0,0,0,4.59,0,0,1.15,21.23,0.57,0,0,0,0,1.15,0,0,0,0,0,5.16,0,0,0.57,0,0
 60-70,0,0,0,6.87,0.98,79.5,0,1.96,1.96,13.74,0.98,0,0,0,0,0.98,0,0,17.67,0,0,2.94,68.71,0,0.98,0.98,0,1.96,13.74,0,0,0,0,0,7.85,0,0,2.94,0,0
 72-82,0,0,0,4.91,3.93,57.92,0,0.98,0.98,3.93,0,0,0,0,0,0,0,0.98,30.43,0,0,0.98,34.36,0,0,0,0,0,4.91,0,0,0,0,0,3.93,0,0,0,0.98,0
 84-94,0,0,1.06,4.25,5.31,64.78,0,0,0,1.06,1.06,0,0,2.12,0,0,0,1.06,10.62,3.19,0,2.12,23.36,0,1.06,0,0,0,19.12,0,0,0,0,0,2.12,0,0,1.06,0,1.06
 96-106,0,0,0,2.19,3.28,33.88,0,2.19,0,5.46,1.09,0,0,0,0,0,0,0,16.39,1.09,0,2.19,15.3,0,2.19,2.19,0,1.09,14.21,0,0,1.09,1.09,0,0,1.09,0,1.09,0,0
108-118,0,0,0,6.89,0.77,39.83,0.77,1.53,1.53,4.6,0,0,0.77,1.53,0.77,0,0.77,0,13.79,0,0.77,2.3,22.21,0.77,2.3,3.06,0,0,11.49,0,0,0,0,0,0,0,1.53,2.3,0.77,0.77
120,0,0,0,0,1.96,31.36,0,1.96,0,1.96,0,0,0,1.96,0,1.96,0,1.96,7.84,0,0,3.92,25.48,0,1.96,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0
