stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,329.45,4625.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0,0
  5-6,281.96,3126.11,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,18.39,0,349.39,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,7.89,0,55.2,0,0,18.4,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,341.73,5.26,0,0,99.89,0,31.54,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,47.2,0,12.59,15.73,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,390.22,22.03,0,0,75.53,0,9.44,6.29,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,8,115,19,3,0,0,0,5,0,1,0,1,0,0,0,13,0,0,4,25,2,5,5,0,0,14,0,5,51,1,5,10,0,2,0,0
 24-34,0,0,0,6.57,43.51,3.28,2.46,5.75,0,0.82,0.82,0.82,0,0.82,5.75,3.28,0.82,0,9.85,4.1,0,2.46,25.45,0,1.64,5.75,0,0,45.97,0,0.82,29.55,0,3.28,4.93,0,5.75,0,0
 36-46,0,0,0,0,21.75,0,3.22,1.61,1.61,0.81,0.81,0,0,0,2.42,2.42,0,0,6.45,0.81,0,2.42,16.11,0,1.61,4.83,0,0,41.09,0,0,12.89,0,0,1.61,0,6.45,0,2.42
 48-58,0,0,0,0,15.49,0,4.02,3.44,1.72,0,2.3,5.16,2.3,0,2.3,3.44,0,0.57,7.46,1.72,0,0,9.75,0,0,2.3,0,0,25.25,0,0,5.16,0,0,1.15,0,5.16,0,2.87
 60-70,0,0,0,0,28.46,0.98,9.82,6.87,3.93,0.98,3.93,0,0,0,0.98,7.85,0,0.98,6.87,2.94,0.98,0.98,13.74,0,0,4.91,0,0,35.33,0,0,4.91,0,0,0.98,2.94,9.82,0.98,0.98
 72-82,0,0,1.96,0,23.56,0,8.83,3.93,0,2.94,11.78,2.94,1.96,0,4.91,11.78,1.96,0,5.89,5.89,0,0.98,11.78,0,0,7.85,0,0.98,45.16,0,0,3.93,0,0,0.98,0.98,16.69,0.98,0.98
 84-94,0,0,1.06,0,67.97,0,6.37,10.62,4.25,0,29.74,1.06,2.12,0,9.56,8.5,1.06,0,5.31,5.31,0,1.06,6.37,0,3.19,5.31,0,0,151.87,0,0,4.25,0,0,0,7.43,12.74,0,0
 96-106,0,0,1.09,3.28,60.11,1.09,8.74,10.93,1.09,2.19,16.39,0,0,0,12.02,12.02,0,1.09,5.46,6.56,0,0,14.21,1.09,7.65,6.56,0,0,114.75,0,0,4.37,0,0,0,8.74,13.11,1.09,1.09
108-118,0,0,0,2.3,63.57,0.77,4.6,14.55,0.77,0.77,22.21,0,2.3,0,15.32,9.96,4.6,0.77,4.6,3.83,0,0.77,5.36,0,4.6,5.36,0,0.77,78.13,0,0,3.83,0,0,0,8.43,14.55,2.3,3.06
120,0,0,0,0,72.51,0,0,11.76,0,0,15.68,0,0,0,9.8,5.88,0,0,7.84,3.92,0,0,7.84,0,1.96,1.96,0,0,78.39,0,0,3.92,0,0,0,5.88,11.76,1.96,3.92
