stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,10.67,0,0,106.71,0,0,2.46,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,0.81,0,0,0,2.42,0,0,0.81,0.81,16.92,0.81,0,104.74,0,0,4.83,0,0,0
 48-58,0.57,0,0,5.16,0,1.15,0,0.57,0,0,0,0.57,0,0,1.72,0,17.21,0,0,84.92,0,0,2.3,0,0.57,0
 60-70,0,6.87,0,2.94,0,1.96,0,2.94,0,0.98,0,3.93,0.98,0,0.98,0,13.74,0,0,114.84,0,0,0,0,0,0
 72-82,0,5.89,0,4.91,0,0,0.98,0.98,0,0,0,5.89,0,0,1.96,1.96,11.78,0,0,134.49,0,0,0,0,0,0
 84-94,0,4.25,0,2.12,0,1.06,0,0,0,0,0,6.37,0,1.06,2.12,4.25,10.62,0,0,386.58,0,0,0,0,0,0
 96-106,0,13.11,0,4.37,0,1.09,0,3.28,1.09,0,0,13.11,0,0,2.19,3.28,9.84,0,0,352.99,0,0,0,2.19,0,1.09
108-118,0,22.98,0,3.06,0,5.36,1.53,0,0.77,0,1.53,15.32,1.53,0,1.53,3.06,3.83,1.53,0,268.85,0,0,0.77,0,0,0
120,0,23.52,1.96,1.96,0,5.88,0,0,0,0,0,9.8,1.96,0,1.96,5.88,15.68,0,0,262.61,1.96,0,0,0,0,0
