stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,131.44,5.26,0,0,44.69,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,72.38,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,22,2,0,1,2,1,9,3,1,9,0,0,0
 24-34,0,0,0,6.57,0.82,0,4.93,0,0,0,0,1.64,0,0,0,0,0.82,9.85,0.82,2.46,33.66,0,1.64,0,0,3.28,0,0,4.93,5.75,0,0.82,0.82
 36-46,0,0,0,1.61,0,0,8.86,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0.81,8.86,0,0,0,0,1.61,0,0.81,0,0.81,0,0.81,0
 48-58,0,0,0,3.44,0,0,17.79,0,0,0.57,2.3,0.57,0,0,0,0.57,0,3.44,1.15,1.72,12.62,0,0.57,0.57,0,1.15,0,0,0,4.59,0,1.72,0
 60-70,0,0,0,3.93,0,0,13.74,0,1.96,0,0,0.98,0,0,0.98,2.94,0,7.85,1.96,1.96,12.76,0,0,0.98,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,2.94,0,0,14.72,0.98,0,1.96,5.89,0.98,0,0.98,0,0,0.98,5.89,0.98,0,8.83,0,0.98,1.96,0,1.96,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,3.19,0,0,9.56,0,0,1.06,1.06,2.12,0,0,1.06,0,1.06,4.25,1.06,0,4.25,0,0,0,0,3.19,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,2.19,1.09,0,4.37,0,0,0,3.28,2.19,0,0,0,0,0,3.28,0,2.19,4.37,0,1.09,0,0,2.19,0,1.09,0,0,1.09,0,0
108-118,0,0,0,3.06,0,0.77,5.36,0,0,0.77,0.77,0,0,0,0.77,0,0,3.06,0,0.77,3.83,0,0,0.77,0,0,0,0.77,0,0,0,0,0
120,0,0,0,5.88,0,0,3.92,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0
