stage,axial,blastomeres,endocrine_pancreas,endoderm,eye,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,60.46,10.51,5.26,0,0,0
 10-12,3.15,0,0,6.29,3.15,0,0,0,0,0,0,15.73,12.59,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,1.64,0,2.46,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0.57,0,3.44,0,0,0,1.72,0.57
 60-70,0,0,0,0,3.93,0.98,0,0,0,0,0,12.76,0,0,0,2.94,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,2.94,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0,1.53,0,0,0,0,0
