stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0
 14-21,0,2,0,1,0,0,0,2,0,1,10,2,0,0,0,2,0
 24-34,0,0.82,0,0.82,0,0,0,3.28,0,0.82,29.55,0,0,0,0.82,2.46,0
 36-46,0,0,0,1.61,0,0,0,2.42,0,0,43.51,0,0,0,0,1.61,0
 48-58,0,0,0,2.3,1.15,0,0,1.72,0,0,52.22,0,0,0,0,2.87,0
 60-70,0,0,0,3.93,0,0,0,0,0,0.98,56.93,0,0,0,0,0.98,0
 72-82,0,0,0,5.89,0,0.98,0.98,1.96,0.98,0,70.68,0,0,0,0,2.94,0.98
 84-94,0,1.06,1.06,2.12,0,0,0,0,0,0,29.74,0,1.06,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,0,2.19,0,0,15.3,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,0.77,0,1.53,0,0.77,27.57,0,0,0,0,0.77,0
120,0,0,1.96,3.92,0,0,0,0,0,0,39.2,0,0,0,0,0,0
