stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,1,25,2,9,0,0,0,6,2,0,0,0,0,0,0,0,9,0,8,111,1,0,1,2,0,10,11,1,10,36,0,0,0
 24-34,0.82,0,6.57,0.82,42.68,0,0,0,3.28,0,0.82,0,0.82,0,0,0,0,13.13,0,5.75,282.37,0,3.28,3.28,0,0,11.49,0,0,1.64,57.46,0,2.46,0
 36-46,0,0,0.81,3.22,85.4,0,0,0,4.03,0.81,0,0,0,0,0,0.81,0,12.89,0.81,4.83,170,0,1.61,0.81,0,0,7.25,0,0,0,48.34,0,1.61,0
 48-58,0,0,2.3,0.57,75.74,0.57,1.15,0,2.87,0,0,0.57,0,0.57,0,0.57,0,11.48,0,2.3,57.38,0,0,0.57,0,0,2.3,0,0,0,7.46,0,0,0.57
 60-70,0,0,2.94,0,93.24,0,0,0,2.94,0.98,0,0,0,0,0.98,0.98,0,23.56,1.96,2.94,56.93,0,0,0,0,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0.98,0,28.47,0,0,0.98,7.85,0,0,0.98,0.98,0,0,1.96,0,12.76,0,0,29.45,0,0,0,0,0.98,0,0,0,0,0.98,0.98,1.96,0
 84-94,0,0,3.19,1.06,22.3,0,0,1.06,1.06,1.06,0,0,1.06,0,0,0,0,16.99,2.12,4.25,16.99,0,0,0,0,0,2.12,0,0,0,0,0,3.19,0
 96-106,0,0,0,0,6.56,0,0,1.09,1.09,0,0,0,0,0,0,0,0,2.19,0,2.19,14.21,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0.77,0,11.49,0,0,0,1.53,0,0,0,0.77,0.77,0,0,0,2.3,0,1.53,6.13,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0.77,0
120,0,0,3.92,5.88,23.52,0,0,0,7.84,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,33.32,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
