stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,6.13,281.96,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,18.39,0,0,0
  7-9,5.26,0,0,10.51,0,15.77,0,0,0,2.63,0,0,0,89.38,2.63,0,0,34.17,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,28.32,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0,0.82,0.82,89.47,0,1.64,0,0,0,0.82,13.95,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,182.89,0,3.22,0.81,0,0,0,29,0.81
 48-58,0,0,0.57,0,1.15,6.31,0,1.72,0,0,1.15,0,0,142.88,0,4.59,0,0,0.57,0,40.17,0
 60-70,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0,85.39,0,7.85,0,0,0,0,33.37,0.98
 72-82,0,0,0,0,0,3.93,0,0,0,0,2.94,0,0,79.51,0,2.94,0,0,0,0,22.58,0
 84-94,0,0,0,0,0,3.19,0,1.06,0,0,5.31,0,0,36.11,0,3.19,0,0,1.06,0,7.43,0
 96-106,0,0,0,0,0,4.37,0,0,0,0,1.09,0,0,26.23,0,5.46,0,0,0,0,3.28,0
108-118,0,0,0,0,0,3.06,0,2.3,1.53,0,0.77,0,0,39.06,0,6.89,0,0,0,0,2.3,0
120,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,50.95,0,3.92,0,0,0,0,0,0
