stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,17,3,0,3,1,0,4,1,0,0,0,0,0,0,0,9,0,0,10,106,6,0,0,0,0,4,0,5,0,2,9,27,0,0,2,0,0
 24-34,0.82,0,0,7.39,0,0,14.78,1.64,0.82,3.28,1.64,0,0,0,0,0,0.82,0,12.31,0,0,2.46,73.88,0,1.64,0.82,0,0,7.39,0,0,0,0.82,0.82,27.09,0,0,4.93,0,0
 36-46,0,0,0,4.03,0,0,7.25,0.81,0.81,2.42,0,0,0.81,0,0,0,0,0,14.5,0,0.81,4.83,48.34,3.22,1.61,1.61,0,0,7.25,0,0,0,0,0,14.5,0,0,5.64,0,0
 48-58,0,0,0,3.44,0,0,14.35,1.72,0,8.61,0,0,0.57,0,0,0,0,0,14.35,1.72,0.57,3.44,44.76,0.57,1.15,1.15,0,0.57,4.59,0,0,0.57,0,0,12.62,0,0,4.02,0,0
 60-70,0,0,0,3.93,0,0,13.74,0,1.96,10.8,0.98,0,0,0.98,0,1.96,1.96,0,24.54,0,0,4.91,22.58,3.93,1.96,0,0,0,4.91,0,0,0,0,0,5.89,0,1.96,0.98,0,0.98
 72-82,0,0,0,2.94,0.98,0,16.69,2.94,0.98,24.54,1.96,0,0,1.96,0.98,0.98,0.98,0,43.19,0,0.98,6.87,51.05,0.98,0.98,1.96,0,0.98,6.87,0,0,0,0,0,5.89,0,1.96,2.94,0.98,0
 84-94,0,2.12,0,5.31,0,0,15.93,3.19,2.12,13.81,4.25,1.06,0,6.37,0,1.06,2.12,0,36.11,0,0,2.12,33.99,1.06,1.06,0,0,0,38.23,0,0,0,0,0,3.19,2.12,0,6.37,0,1.06
 96-106,0,4.37,0,13.11,0,0,13.11,1.09,2.19,27.32,3.28,0,4.37,7.65,2.19,2.19,3.28,2.19,48.09,4.37,5.46,5.46,33.88,2.19,5.46,1.09,0,1.09,36.06,1.09,0,0,0,0,4.37,2.19,2.19,6.56,5.46,2.19
108-118,0,0.77,0,15.32,1.53,0.77,20.68,6.89,1.53,22.21,2.3,0,0.77,3.83,1.53,2.3,2.3,0,54.38,0,3.06,6.89,62.04,3.06,3.06,2.3,0,1.53,21.45,0,0,1.53,0,0,5.36,3.83,0.77,6.89,3.06,3.83
120,0,0,0,9.8,0,0,21.56,3.92,3.92,25.48,0,0,0,1.96,3.92,0,3.92,3.92,45.08,0,0,5.88,58.79,1.96,1.96,3.92,0,0,33.32,0,0,1.96,0,0,1.96,0,0,7.84,0,0
