stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,3,0,0,2,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0,4.93,0,0,20.52,2.46,0,0,0.82,0,0.82,0,8.21,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,0.81,0,0,0.81,0,0,4.83,0,0,51.56,2.42,0,0,1.61,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,0,0,8.03,0,0,2.3,0,0,0,0,0,4.02,0,0,59.1,3.44,0,0,1.15,0,0,0.57,13.2,0,0,1.15,0
 60-70,0,0,0.98,0,0,46.13,0.98,0,5.89,0,0,0,0.98,0,11.78,0,0,163.91,4.91,0.98,0,0,0,0,0,20.61,0,0,1.96,0
 72-82,0,0,2.94,0.98,0,94.24,0.98,0,7.85,0,0,0,0,0.98,5.89,0,0,192.41,2.94,1.96,0,1.96,0,0,0,16.69,0,0,2.94,0
 84-94,0,0,0,0,0,58.41,0,0,5.31,0,0,1.06,0,0,2.12,1.06,2.12,120.01,2.12,1.06,0,0,0,0,0,13.81,0,1.06,1.06,0
 96-106,0,0,2.19,0,1.09,88.52,0,0,5.46,1.09,0,1.09,0,0,4.37,0,2.19,97.26,6.56,0,0,2.19,0,0,0,3.28,1.09,0,1.09,1.09
108-118,0,0,0.77,0,0,56.68,0,0.77,6.13,0,0,3.83,0,0.77,7.66,0,0,132.51,3.06,0.77,0,0.77,0,0,0,9.19,0,0,0,0
120,0,0,3.92,0,0,45.08,0,1.96,5.88,0,0,1.96,0,0,3.92,0,0,182.26,9.8,0,0,5.88,0,0,0,9.8,0,0,0,0
