stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,18.53,0.81,0,0,0,8.86,0
 48-58,0,0,0,11.48,0.57,0,0,0,0,0,0,0,0.57,0,18.94,0,0,0,0,10.9,0
 60-70,0,0,0,40.24,0,5.89,0,0,0,0,0,0,4.91,0,71.65,1.96,0,0,0,30.43,0
 72-82,0,2.94,0.98,52.03,0,7.85,0,0,0.98,0,0,0,7.85,0,68.72,0,0,0,0,14.72,0
 84-94,0,1.06,0,25.49,0,3.19,1.06,0,0,1.06,0,0,3.19,0,39.3,0,0,1.06,1.06,8.5,0
 96-106,0,2.19,0,20.76,1.09,6.56,0,0,0,0,0,0,6.56,1.09,39.34,1.09,1.09,1.09,0,4.37,0
108-118,0,1.53,0.77,24.51,2.3,1.53,0,0,0,0,0,0,0,0,34.47,0,0.77,0,0,2.3,0.77
120,0,0,0,23.52,0,7.84,0,0,0,0,1.96,0,1.96,0,41.16,0,0,0,0,1.96,0
