stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,4,9,0,1,1,1,1,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0.82,22.98,0,0,0.82,0,0.82,1.64,0,0,0.82,0
 36-46,0,0,1.61,0.81,0,0.81,0,0,0,0,0.81,0,0,21.75,0,0,2.42,0,0,4.03,0,0,0,0
 48-58,0,0.57,6.89,1.15,0.57,1.72,0,0,0,0.57,1.72,0,0.57,15.49,0,0,0,0,0,3.44,0,0,1.72,0
 60-70,0,0,7.85,0,0,1.96,0,0,0,0,0.98,0,0.98,48.09,0.98,0,0.98,0,0,3.93,0,0,0,0
 72-82,0.98,0,8.83,0,0,0.98,0,0,0,0,11.78,1.96,0,27.49,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,4.25,0,0,2.12,0,1.06,0,1.06,3.19,0,1.06,15.93,1.06,0,0,0,0,1.06,1.06,0,0,0
 96-106,0,2.19,2.19,1.09,1.09,0,0,0,1.09,0,5.46,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,2.3,0.77,0,0,1.53,0.77,0.77,0,0.77,6.13,0.77,0,8.43,0.77,0,1.53,0,0,0,0,0,0,0.77
120,0,1.96,0,0,0,1.96,0,0,0,0,9.8,0,1.96,5.88,0,0,1.96,0,0,1.96,0,0,0,0
