stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,26,3,0,9,0,0,0,1,0,0,0,0,0,0,0,14,0,0,10,184,1,0,4,2,0,3,20,1,4,39,54,0,0,1,0,0
 24-34,0,0,1.64,18.88,0.82,0,17.24,0,0,0.82,4.93,0,1.64,0,0.82,0.82,3.28,0.82,38.58,0,0,13.13,434.23,7.39,0.82,3.28,0,0,12.31,0,0,0.82,13.95,90.29,0,0,6.57,0,0.82
 36-46,0,0,0,4.03,1.61,0,15.31,0.81,2.42,3.22,16.92,0.81,0,0.81,0,0,1.61,0,35.45,0,0.81,16.92,319.85,4.03,0,2.42,0,0,12.09,0,0,0,0,99.1,0,0,0,0,0
 48-58,0,0,0.57,5.74,0,0,39.59,1.15,2.3,1.72,47.63,0.57,0.57,0,0,0,4.59,0.57,37.3,0,1.72,6.89,148.04,1.15,0,0.57,0,0,4.59,0,0,0,0,70.58,0,0,1.72,0,0.57
 60-70,0,0,0,13.74,0,0,28.46,1.96,0.98,0.98,29.45,0,0,0,0.98,0.98,0.98,0,45.15,0,0.98,6.87,70.67,2.94,0,4.91,0,0,0.98,0,0,0.98,0,16.69,0.98,0,1.96,0,3.93
 72-82,0,0.98,0,11.78,0,0,25.52,0.98,1.96,2.94,36.32,0.98,1.96,0,0.98,0,3.93,0,44.17,1.96,1.96,9.82,58.9,0.98,0,2.94,0,0.98,6.87,0,0,0.98,0,10.8,0,1.96,2.94,0.98,1.96
 84-94,0,0,0,18.05,0,0,24.43,2.12,2.12,3.19,22.3,0,0,0,1.06,3.19,1.06,3.19,27.61,0,0,5.31,40.36,1.06,1.06,2.12,0,0,14.87,0,0,0,0,4.25,0,1.06,2.12,1.06,1.06
 96-106,0,0,0,14.21,0,1.09,15.3,1.09,0,1.09,27.32,3.28,0,0,1.09,0,8.74,0,24.04,0,1.09,3.28,39.34,4.37,0,2.19,0,0,15.3,0,0,1.09,0,2.19,7.65,0,3.28,1.09,1.09
108-118,0,0,0,17.62,0,1.53,11.49,1.53,2.3,0,19.15,1.53,0.77,0.77,1.53,7.66,4.6,3.83,19.92,0.77,0,9.19,35.23,0,0.77,2.3,0,0,9.19,0,0,0.77,0,0.77,2.3,0.77,2.3,0,3.06
120,0,0,0,23.52,0,0,15.68,0,1.96,0,17.64,1.96,0,0,1.96,7.84,0,1.96,13.72,0,1.96,9.8,45.08,1.96,0,1.96,0,1.96,11.76,0,0,0,0,0,1.96,0,1.96,1.96,0
