stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,15.73,0,0,6.29,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,6,48,0,0,15,0,0,7,6,1,0,0,0,0,0,0,38,0,0,17,87,9,0,6,3,0,9,1,2,0,3,104,0,0,0,0,0
 24-34,0.82,0,0.82,8.21,20.52,0,0,22.16,0,0,3.28,4.1,0,3.28,0,0,0.82,0,3.28,61.56,1.64,0.82,15.6,83.73,4.1,0,0.82,0,0,5.75,0,0,0,1.64,60.74,0,0,1.64,0,1.64
 36-46,0,0,0,0.81,6.45,0.81,0,11.28,0,2.42,4.83,0,0,7.25,0,0,0,0.81,0,53.98,0.81,6.45,9.67,41.89,0,0,2.42,0,0.81,2.42,0,0,0,0,29.81,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,9.18,0,1.15,4.02,0,0,2.87,0,0,0,0,0.57,22.38,0,2.3,1.15,27.54,0.57,0,1.72,0,0.57,0,0,0,0.57,0,14.35,0,0.57,1.15,0,1.15
 60-70,0,0,0,0,0,0,0,2.94,0,0,19.63,0,0,0,0,0.98,0,0,0,21.59,0,1.96,0,20.61,0,0,0,0,0,0,0,0,0,0,3.93,0,0.98,0,0,1.96
 72-82,0,0,0,0,0,0,0.98,5.89,0,0.98,59.88,0,0,0.98,0,0.98,0.98,0,0,30.43,0,1.96,0,35.34,0,0,4.91,0,0,0.98,0,0,0,0,10.8,0,0.98,0,0,0
 84-94,0,0,0,0,4.25,0,1.06,18.05,0,2.12,44.61,1.06,0,0,0,0,0,0,0,27.61,0,4.25,2.12,30.8,0,0,2.12,0,0,2.12,0,0,0,0,9.56,0,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,0,9.84,1.09,0,83.06,1.09,0,3.28,1.09,2.19,0,0,0,22.95,0,2.19,2.19,31.69,0,1.09,6.56,0,0,0,0,0,0,0,10.93,1.09,1.09,0,2.19,0
108-118,0,0,0,0,2.3,0,1.53,14.55,0.77,1.53,67.4,1.53,0,0.77,0,0,0,0,0,28.34,0,0,1.53,25.28,0,0,1.53,0,0,0.77,0,0,0.77,0,7.66,0,0,0.77,0.77,0
120,0,0,0,0,1.96,0,0,13.72,0,7.84,68.59,0,0,0,0,0,0,0,0,17.64,1.96,0,1.96,17.64,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0
