stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0
 24-34,0.82,0,4.1,0,0.82,0,0,0,0,0,0,0.82,0,0,10.67,0,0,0,0,0,4.1,0,0,0,0
 36-46,0,0,3.22,0.81,0,0,0.81,0,0,0,0.81,1.61,0,0,18.53,0,0,0,0.81,0,3.22,0,0,0,0
 48-58,1.15,0,9.75,1.15,1.72,0.57,1.15,0,0,0.57,0.57,28.69,0,1.15,18.94,0,0,0,0,0,2.3,0,0,0,0
 60-70,0.98,0,13.74,4.91,1.96,0,2.94,0,0,2.94,0.98,113.86,0,1.96,27.48,0,0.98,0,0,0,6.87,3.93,0,0,0
 72-82,1.96,0,31.41,3.93,6.87,0,11.78,0,0.98,6.87,0,249.34,3.93,6.87,21.6,0.98,1.96,0,0,0,3.93,2.94,0.98,0.98,0.98
 84-94,5.31,1.06,23.36,4.25,2.12,0,5.31,0,0,0,0,128.51,2.12,2.12,13.81,0,0,0,0,1.06,1.06,2.12,2.12,1.06,0
 96-106,4.37,0,13.11,13.11,2.19,0,15.3,0,0,6.56,0,170.48,17.49,6.56,21.86,0,1.09,1.09,2.19,1.09,2.19,6.56,2.19,3.28,0
108-118,6.89,0.77,16.85,9.19,1.53,0.77,5.36,0,0,5.36,0,222.13,11.49,2.3,16.09,0,0.77,2.3,0,0,2.3,3.83,0,0.77,0
120,9.8,0,5.88,9.8,0,0,5.88,1.96,0,7.84,0,180.3,3.92,1.96,29.4,0,0,1.96,0,0,0,1.96,0,0,0
