stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,3,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0.82,4.1,1.64,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,0,0,4.03,0,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,2.3,0.57,0,0,0,0,1.15,0,2.3,2.87,0,0.57,0,0,0,1.72,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,9.82,10.8,0,0.98,0.98,0,3.93,0,2.94,3.93,0,0,0,0,0,1.96,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,12.76,13.74,0.98,0,0,0,3.93,0,0.98,7.85,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,12.74,29.74,0,1.06,0,0,2.12,1.06,3.19,2.12,0,0,2.12,0,0,3.19,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,8.74,39.34,0,0,0,0,6.56,0,5.46,1.09,0,0,1.09,0,0,3.28,0,1.09,0,1.09,0,0
108-118,0,0,0.77,1.53,0.77,6.13,37.53,0,0,0.77,0,2.3,0,6.89,0.77,0,0,1.53,0,0,2.3,0,0.77,0,0,0,0
120,0,0,0,1.96,0,19.6,23.52,0,0,1.96,0,1.96,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0,0
