stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.99,22.03,0,0,160.5,0,0,6.29,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,27,5,6,0,0,0,7,1,1,0,3,0,0,0,36,0,0,31,190,8,1,4,1,0,2,41,0,59,127,96,0,0,0,0,0
 24-34,0,0,0,17.24,2.46,29.55,2.46,4.93,1.64,18.06,0,0.82,0,2.46,0.82,1.64,0,122.31,4.1,0.82,69.77,528.63,0.82,1.64,12.31,0,0,2.46,0,0.82,3.28,18.88,158.43,0,0,4.1,0,0
 36-46,0,0,0,4.83,0,17.72,3.22,0.81,9.67,46.73,0,0.81,0,0,0.81,0,0,169.19,4.03,1.61,53.98,568.8,1.61,2.42,4.83,0,0,2.42,0,0,2.42,0.81,203.83,0,0,0,0,0
 48-58,0,0,0,2.3,1.15,26.4,4.02,0.57,7.46,80.91,0.57,1.15,0.57,0,0.57,0,0.57,289.2,2.87,16.64,51.07,246.74,0.57,0.57,4.59,0,1.72,1.15,0,0,0,0,106.73,0,1.15,0.57,1.15,1.15
 60-70,0,0,0,3.93,0,21.59,10.8,1.96,4.91,103.06,0,0.98,0,0.98,0,0,0,381.81,1.96,26.5,32.39,119.75,0,0,2.94,0,1.96,3.93,0,0.98,0,0,45.15,0.98,6.87,0.98,16.69,0
 72-82,0,0,0,4.91,2.94,38.28,21.6,0,10.8,91.29,0,0.98,0,0.98,0,0,0.98,436.84,3.93,29.45,43.19,86.39,0,0,8.83,0,5.89,1.96,0,0,0,0,13.74,0,27.49,1.96,45.16,0
 84-94,0,0,0,6.37,1.06,35.05,15.93,0,6.37,54.16,1.06,0,0,2.12,0,0,0,226.21,2.12,44.61,30.8,57.35,0,0,4.25,0,1.06,6.37,0,0,0,0,12.74,0,12.74,5.31,46.73,1.06
 96-106,0,0,0,3.28,1.09,33.88,20.76,0,6.56,46.99,2.19,0,0,0,0,0,0,181.41,2.19,22.95,13.11,51.36,0,0,6.56,0,5.46,10.93,0,2.19,0,0,2.19,0,8.74,0,55.74,0
108-118,0,0,0,6.89,2.3,26.04,11.49,0,3.83,30.64,1.53,0,0,0.77,0.77,0,0.77,137.87,0.77,13.02,14.55,32.17,0,0.77,0,0,7.66,3.83,0,0,0,0,0.77,0.77,2.3,1.53,32.17,0
120,0,0,0,5.88,0,35.28,21.56,0,0,33.32,0,0,0,1.96,0,0,0,76.43,0,11.76,3.92,19.6,0,0,3.92,0,1.96,1.96,0,0,0,0,1.96,0,5.88,3.92,25.48,0
