stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,44.06,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,9,4,7,0,0,2,1,1,0,0,0,0,0,0,13,0,10,65,3,2,6,0,0,19,0,1,16,32,0,0,0
 24-34,0,0,3.28,1.64,1.64,2.46,0,0,1.64,0,0,0,0.82,0,0.82,0.82,0,9.85,0,7.39,39.4,2.46,0.82,0,0,0,0,0.82,0.82,1.64,20.52,0,8.21,0
 36-46,0,0,0,2.42,0,20.14,0.81,0,2.42,0,0,0,0,0,0,0,0,15.31,0,5.64,37.87,0.81,0,0,0,0,0,0,0,0,9.67,0,0,0
 48-58,0,0,0,1.72,0,10.9,0,0.57,7.46,0,0,0,0,0,0,0,0,13.2,0,2.87,24.67,0,1.15,0,0,0.57,0,0,0.57,0,13.77,0,2.87,0
 60-70,0,0,0,0,0,16.69,0,0.98,10.8,0,0,0,0,0,0,0,0,20.61,0,2.94,19.63,0,0,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,3.93,0,9.82,0,1.96,10.8,0,0,0,0,0,0.98,0,0,42.21,0.98,7.85,26.5,0.98,1.96,0,0,0.98,0,0,0,0,3.93,0.98,0.98,0.98
 84-94,0,0,0,3.19,0,11.68,0,0,9.56,0,0,0,0,0,0,0,1.06,14.87,2.12,2.12,24.43,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,1.09,5.46,0,0,12.02,0,0,1.09,0,0,0,0,0,24.04,0,0,17.49,0,2.19,0,1.09,0,0,0,0,0,1.09,0,5.46,2.19
108-118,0,0,0,4.6,0,9.19,0,1.53,3.83,0,0,0,0,0.77,1.53,0,0,20.68,0,3.83,19.15,2.3,0.77,0,0,0,0,0,0.77,0,0,0,3.06,0.77
120,0,0,0,0,0,1.96,0,5.88,1.96,0,0,0,0,0,0,0,0,3.92,0,1.96,11.76,0,1.96,0,0,0,0,0,0,0,0,0,0,0
