stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,447.46,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,15.77,0,0,0,39.43,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,218.18,7.89,0,0,86.75,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,25.18,0,3.15,0,28.32,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,286.37,12.59,0,0,72.38,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,6,14,3,0,11,0,0,3,0,0,0,0,1,0,0,0,2,12,0,0,8,149,0,1,1,2,0,1,9,1,14,44,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,13.95,0,0,1.64,0,0,0,0,0,0,0,0,0,10.67,0,0,1.64,82.09,0,0.82,0,0,0,1.64,0,0,1.64,17.24,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,108.77,0.81,0.81,7.25,0.81,0,1.61,0,0,0.81,0.81,0,0.81,32.23,0,0.81,7.25,286.82,0.81,1.61,0,0,0,3.22,0,0,0,53.17,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,85.5,0.57,1.72,6.31,0,0,0,0,0,0.57,0,0,0.57,20.66,0.57,1.72,5.74,80.33,0.57,0.57,0.57,0,0,1.72,0,0.57,0,16.07,0.57,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,28.46,0.98,0.98,4.91,0,0,0,0,0,0,0,0,0,3.93,0,0,0.98,36.32,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,3.93,0,54.97,0.98,1.96,4.91,2.94,0,0,0,0,0,0,0,0,30.43,0,1.96,3.93,58.9,0,0,2.94,0,0,3.93,0,0,0,8.83,0,4.91,0,0
 84-94,0,0,0,0,4.25,2.12,0,73.28,0,2.12,6.37,4.25,0,1.06,2.12,1.06,1.06,1.06,1.06,0,15.93,0,2.12,2.12,32.92,0,1.06,1.06,0,1.06,9.56,0,0,0,3.19,0,1.06,0,0
 96-106,0,0,1.09,0,3.28,0,0,27.32,1.09,0,7.65,1.09,0,0,1.09,0,0,0,0,0,21.86,0,2.19,1.09,28.41,0,2.19,1.09,0,0,5.46,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0,6.13,1.53,0.77,33.7,2.3,0,3.06,1.53,0,0,0,1.53,0,0,0,0,6.89,0,0.77,3.06,39.06,2.3,0,1.53,0,0,3.06,0,0.77,0,0.77,0,1.53,0,1.53
120,0,0,0,0,5.88,7.84,0,21.56,0,0,15.68,3.92,0,0,0,0,0,0,0,0,17.64,0,1.96,3.92,35.28,0,1.96,0,1.96,0,5.88,0,0,0,1.96,0,0,0,0
