stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,13,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,0.82,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,173.2,0,3.28,0,0,0,0,0,0,50.89,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,6.45,0,0.81,0,0,0,0,0,0,1.61,0,0.81,0.81,492.26,0,11.28,0,0,0,0,0,0,89.43,0,0,0,0,0
 48-58,0,0,0.57,0.57,41.89,0,0,0.57,12.62,0,0,0,0.57,0,0.57,0,0,6.89,0.57,0,1.15,704.06,0,6.31,0,0,0,1.15,0,0,100.99,0,0,0,0,0
 60-70,0,0,2.94,0.98,101.1,0,2.94,0.98,15.7,0,0,0,0,1.96,0,0,0,12.76,0,0,0.98,1203.35,0.98,9.82,0,0,0,1.96,0,0,143.3,0,0,0.98,0,0
 72-82,0,0,2.94,0,212.04,0.98,0.98,0,31.41,0,0,0,0,0,0,0,0.98,29.45,0,0.98,2.94,1214.32,0,23.56,0,0,0,1.96,0,0,98.17,0.98,0,2.94,4.91,0.98
 84-94,0,0,7.43,1.06,141.25,0,2.12,1.06,33.99,0,0,3.19,1.06,0,0,0,0,23.36,0,1.06,3.19,640.41,0,6.37,3.19,0,0,5.31,0,0,65.85,0,1.06,2.12,3.19,0
 96-106,0,1.09,4.37,3.28,142.07,0,2.19,0,17.49,1.09,0,3.28,0,0,1.09,2.19,0,18.58,0,3.28,1.09,534.4,0,14.21,3.28,0,1.09,3.28,0,1.09,32.79,1.09,0,2.19,1.09,0
108-118,0,0,7.66,2.3,104.94,0,0.77,0.77,17.62,0,0,2.3,0,0,0,0,0,17.62,0,0,1.53,674.81,0,6.89,2.3,0,0,0.77,0,0,29.11,1.53,0,2.3,0,0
120,0,0,13.72,1.96,143.06,1.96,0,0,23.52,5.88,0,0,0,0,0,1.96,0,11.76,0,0,7.84,872.1,0,11.76,0,0,0,5.88,0,0,33.32,0,1.96,7.84,0,0
