stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,5.75,9.03,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0.81,8.86,5.64,0.81,0,0,0.81,0,0,0,0.81,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,1.15,0,0,0,0,0,1.15,0,0,0,10.9,3.44,0,0,0,0.57,0,0.57,0,1.72,0,1.15,0,0,1.72
 60-70,0,0,0,0.98,0,3.93,0,0,2.94,0,1.96,0,0,0,0,0,10.8,0,7.85,0,12.76,1.96,0,0,0.98,0,0,0.98,0,0,0.98,15.7,0,20.61,5.89
 72-82,0,0,0.98,1.96,0.98,13.74,0,0.98,4.91,0,0,0,0,0,0.98,0,18.65,0,7.85,0.98,24.54,0.98,0,0,0,1.96,0,0,0.98,3.93,0,40.25,0.98,68.72,4.91
 84-94,0,0,0,0,1.06,18.05,5.31,0,5.31,0,0,0,0,0,0,0,20.18,0,15.93,0,7.43,1.06,0,0,2.12,1.06,0,0,0,0,0,42.48,2.12,84.96,0
 96-106,0,0,0,4.37,2.19,13.11,3.28,1.09,1.09,0,3.28,0,1.09,1.09,0,1.09,26.23,0,8.74,2.19,7.65,0,1.09,0,2.19,2.19,0,0,0,0,0,48.09,1.09,121.31,1.09
108-118,0,0,0.77,1.53,0.77,19.92,1.53,1.53,0.77,0.77,0.77,0,0.77,0,0,1.53,36.77,0,4.6,1.53,17.62,0.77,0,0,3.06,3.83,0,0.77,0,0.77,0,31.4,0,73.53,0.77
120,0,0,0,3.92,0,5.88,3.92,0,0,3.92,0,0,0,0,0,0,21.56,0,3.92,0,7.84,0,0,0,0,5.88,0,1.96,0,0,0,25.48,0,107.79,1.96
