stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0.82,15.6,0,0,0,0.82,0,0.82,6.57,0,0.82,0,0
 36-46,0,0,0.81,0,4.83,0,0,2.42,0,0,0,0,0,0,2.42,0,0,24.98,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0.57,0,14.35,0,0,0.57,0,0,0,0,0,0,6.89,0,1.15,22.95,0,0,0,0.57,0,0,5.16,0,0,0,0
 60-70,0,0,1.96,0,15.7,0,0,2.94,0,0,0,0.98,0,0,4.91,0,0.98,17.67,0,0,0,1.96,0,0,2.94,0,0.98,0,0
 72-82,0,0,0,1.96,11.78,0,0.98,4.91,1.96,0,0,0,0,0.98,8.83,0,0,20.61,0,0,0,1.96,0,0,4.91,0,0,0,0
 84-94,0,0,2.12,1.06,9.56,1.06,1.06,0,1.06,1.06,0,0,0,0,3.19,0,0,7.43,0,0,0,8.5,0,0,2.12,0,0,0,0
 96-106,0,0,1.09,0,7.65,2.19,1.09,3.28,0,1.09,0,0,1.09,0,14.21,1.09,1.09,7.65,0,1.09,0,9.84,1.09,0,0,0,1.09,0,0
108-118,0.77,0,0,0.77,3.06,0,0,0.77,0,1.53,0,0.77,0,0,4.6,0,0.77,8.43,0,0,0,2.3,0,0,0,0.77,0.77,0.77,0.77
120,0,0,1.96,0,1.96,0,1.96,1.96,0,1.96,5.88,0,0,0,3.92,0,3.92,5.88,1.96,0,0,5.88,0,0,0,0,3.92,1.96,0
