stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,51.71,0,0,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,73.32,0,0,0.81,0,0,0,0,0,0,0.81,0,4.83,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,77.46,0,0,2.87,0,2.3,0,0,0,0,1.15,0,2.3,0
 60-70,0,0,0,0,0,0.98,0,0,0,85.39,0,0,3.93,0,3.93,0,0.98,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,0,1.96,0,0,0,112.89,0,0,2.94,0,3.93,0,1.96,0,0,0,0,7.85,0.98
 84-94,0,0,1.06,0,0,1.06,0,0,0,155.06,0,0,3.19,0,2.12,0,0,0,1.06,0,1.06,7.43,0
 96-106,0,0,0,0,0,1.09,0,0,0,189.06,1.09,2.19,3.28,0,3.28,0,2.19,0,0,0,1.09,9.84,1.09
108-118,0,0,0,0.77,0.77,2.3,0,0,0.77,147.06,0,0,0.77,0.77,4.6,0,0,0,0,0,0,9.19,0
120,0,0,0,1.96,0,3.92,1.96,0,1.96,156.78,0,0,0,0,5.88,1.96,0,0,0,0,0,7.84,0
