stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,1,1,1,3,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0.82,1.64,0,0,0,0,0,0,0.82,2.46,45.15,0,1.64,0,0,0,1.64,0,0,0,17.24,0,0.82,0,0
 36-46,0,0,2.42,0.81,3.22,0,0,3.22,0,0,0,0,0,0,0.81,1.61,64.45,0,1.61,0,0,0,0,0,0,0,19.34,0,0,0,0
 48-58,0,0,0,0,8.61,0,0,3.44,0,0,0,0.57,0,0.57,1.72,0.57,75.17,0,0.57,0,0,0,0,0,0,0,16.07,0,0,0,0
 60-70,0,0,2.94,0.98,27.48,0.98,0,11.78,0,0,0,0,0,0,3.93,0.98,105.02,0,0.98,0.98,0,0,0,0,0,0,13.74,0,0,0,0
 72-82,0,0,1.96,6.87,48.1,0,0,17.67,0.98,0,0.98,0,0,0,4.91,0.98,105.04,0,3.93,0,0,0.98,0.98,0,0,0,10.8,0,0,0.98,0
 84-94,0,0,1.06,4.25,26.55,0,0,6.37,0,0,2.12,0,0,0,3.19,0,50.98,0,5.31,0,0,0,4.25,0,0,0,3.19,0,0,0,1.06
 96-106,0,0,3.28,9.84,32.79,0,0,10.93,0,1.09,1.09,0,1.09,1.09,4.37,0,56.83,0,3.28,0,0,0,2.19,0,0,0,4.37,1.09,1.09,0,0
108-118,0,0,0.77,2.3,39.83,0,0,6.89,0,0,0,1.53,0,0.77,3.06,0,65.11,0.77,0.77,2.3,0,0,0,0,0,0,3.83,0.77,0,0,0
120,0,0,5.88,3.92,39.2,0,0,11.76,0,0,0,0,0,1.96,3.92,0,72.51,0,5.88,7.84,0,0,0,0,0,0,0,0,0,0,0
