stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
 24-34,0,12.31,0,1.64,0,0,0.82,0,0,0,0.82,0,3.28,0,15.6,0.82,0,0
 36-46,0,10.47,0,3.22,0.81,0,0,0,0,0.81,0,0,0.81,0.81,8.86,0.81,0,0.81
 48-58,0,4.59,0,2.3,0,0,0,0,0,0,0,0.57,1.72,0,5.74,0,0.57,0.57
 60-70,0,12.76,0,5.89,0.98,0,0,0,0,0,0.98,0.98,1.96,0,14.72,0,0,0
 72-82,0,13.74,0,4.91,0.98,0,0.98,0,0,0,1.96,0,0.98,0,24.54,0,0,0
 84-94,0,7.43,0,8.5,0,0,0,0,0,3.19,2.12,0,0,0,42.48,0,0,0
 96-106,0,19.67,0,3.28,0,1.09,2.19,0,0,0,0,0,2.19,0,36.06,0,0,0
108-118,0,16.85,0.77,6.89,0,0,0.77,3.06,0.77,1.53,0,0,0,0,34.47,0,0,0
120,0,9.8,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,21.56,0,0,0
