stage,axial,blastomeres,erythrocytes,eye,glial,immune,iridophores,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,15.77,2.63,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,4.1,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,8.06,0,1.61
 48-58,0,0,0.57,0,0,0,0,0,6.89,0,2.3
 60-70,0,0,0,2.94,0,0,0,0.98,17.67,0,2.94
 72-82,0,0,0,2.94,0.98,0,0,0,22.58,0,1.96
 84-94,0,0,0,1.06,0,1.06,0,2.12,11.68,0,2.12
 96-106,0,0,0,3.28,0,0,0,1.09,5.46,0,0
108-118,0,0,0,0,0,0,0.77,0,9.19,0,0
120,0,0,0,0,0,0,0,0,9.8,0,0
