stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,2.63,0,0,7.89,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,1,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,4.93,0,0.82,0,0,0,0.82,0
 36-46,0,0,0,0.81,3.22,0,0.81,0,0.81,0,2.42,0,0,0,0,0,4.03,0.81
 48-58,0,0,0,0,1.72,0,0,0,1.15,0,4.02,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,3.19,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,1.09,1.09,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0,0,0,2.3,0,0,0,0.77,0,0,0.77
120,0,0,1.96,0,1.96,0,0,0,0,0,5.88,0,0,0,0,0,0,0
