stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,5.26,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,7.89,7.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,173,1,0,0,0,0,1,0,0,0,1,0,7,0,2,1,0,0,0,1,5,4,29,4,0,0,0,0
 24-34,0,0,0,0,18.88,0,0,0,0.82,0,0.82,0,0,0,0,0,4.1,0,0,3.28,0,0,0,0,0,0,2.46,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,15.31,0,0,5.64,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.74,0,0,0.57,0,0,0,0,0,32.71,0,1.15,1.72,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,15.7,0,0,0,0,0.98,0,0,0,121.71,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,33.38,0.98,0.98,1.96,0,0.98,0,0,0,196.33,0,4.91,14.72,0,0.98,0,0,0,0,0,1.96,0,0.98,0,0.98
 84-94,0,0,0,0,3.19,0,0,31.86,0,0,1.06,0,0,0,1.06,0,150.81,0,0,3.19,0,0,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,0,1.09,0,40.44,0,0,1.09,0,1.09,0,0,1.09,179.23,1.09,1.09,10.93,0,0,0,0,0,0,0,0,1.09,3.28,0,0
108-118,0,0,0,0,1.53,0.77,0,27.57,0,0,0,0,1.53,0.77,0,0.77,195.32,0.77,0.77,19.92,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,1.96,27.44,0,1.96,1.96,0,0,0,0,0,115.63,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,1.96
