stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,412.71,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,490.93,0,3.15,0,0,9.44,0,0,0,0,0
 14-21,0,0,35,3,0,1,0,0,0,1,1,0,0,0,0,1,7,0,0,18,20,2,1,2,6,1,192,6,54,329,17,0,2,0,0
 24-34,0,0,9.03,0.82,0,4.93,0.82,5.75,2.46,1.64,0,0,0,0,0,0,3.28,0,0,18.88,40.22,0.82,0.82,0,0,0.82,0,8.21,7.39,137.9,11.49,0,1.64,0,0
 36-46,0,0,2.42,0,0,3.22,2.42,0.81,4.83,1.61,0,0,0,0,0,0,8.86,0.81,0,4.83,39.48,0,1.61,0,0,1.61,0,2.42,4.83,4.83,10.47,0,4.03,0,0
 48-58,0,0,2.3,0.57,0,9.18,0.57,1.15,1.15,1.72,0,0,1.15,0,0.57,0,10.33,0,0,2.87,34.43,0,0,0,0,0,0,1.72,1.15,0,8.03,0,1.15,0,0.57
 60-70,0,0,0.98,0,0,27.48,0.98,0.98,0.98,1.96,0.98,0,0,0,0,0,3.93,0,1.96,3.93,30.43,0.98,0,0,0,0,0,0.98,0.98,0,2.94,0,0,0,0
 72-82,0,0,0.98,1.96,0,25.52,2.94,2.94,0,4.91,1.96,0,0,0,0,0,7.85,0,0,1.96,29.45,0,0,0.98,0,0,0,1.96,0,0,0.98,0,0.98,0.98,0
 84-94,0,0,0,2.12,0,12.74,2.12,1.06,1.06,2.12,1.06,0,0,0,1.06,0,4.25,0,0,5.31,12.74,0,0,1.06,0,1.06,0,0,0,0,1.06,0,1.06,2.12,0
 96-106,0,1.09,0,0,0,12.02,0,0,2.19,2.19,0,0,1.09,0,0,0,6.56,0,1.09,1.09,14.21,0,1.09,0,0,1.09,0,0,1.09,0,1.09,0,2.19,2.19,0
108-118,0,0,2.3,0.77,0.77,9.19,2.3,0.77,0,2.3,0,0.77,0,0.77,0,0.77,3.83,0,0,3.06,10.72,0,1.53,2.3,0,2.3,0,0,0,0,0,0.77,0.77,1.53,0
120,0,0,7.84,0,0,3.92,1.96,0,0,0,0,0,0,1.96,0,0,3.92,0,0,3.92,11.76,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0
