stage,eye,glial,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,4
 24-34,0.82,0.82,0,0,0.82,0,0.82,0,0,0,0,2.46
 36-46,0,3.22,0,0,0,0,1.61,0,0.81,0,1.61,0.81
 48-58,0,0,0,0,0,0.57,1.15,0.57,0,0,0,1.72
 60-70,0.98,0,0,0,0.98,0,1.96,0,0.98,0,0,1.96
 72-82,0.98,1.96,0.98,0.98,0,0,0,1.96,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0.77,1.53,0,0,0.77,0,0,1.53,0.77,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0
