stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,8,4,0,0,0,0,3,1,6,0,1,0,0
 24-34,0,0,0.82,2.46,0,3.28,0.82,0,3.28,0,0,0,0,0,0,0.82,0,2.46,0,0,0.82,36.94,0.82,0,1.64,0,0,0.82,0.82,5.75,0,0,0,0
 36-46,0,0,0,0.81,0,8.06,0,0,3.22,0,0,0,0,0,0,0,0,2.42,0,0,0,16.11,0,0,0,0,2.42,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,1.15,0,6.89,0,0.57,2.87,0,0,0,0,0,0,0,0,6.89,0,0.57,0.57,16.64,0,0.57,0.57,0,0,0,0,5.16,0,1.72,0,0.57
 60-70,0,0,0,0,0,13.74,0,0,3.93,0,0,0,0,0,0.98,0,0,11.78,0,0,0,16.69,0,0,0,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,0,0,0,3.93,0,0,3.93,2.94,0,0.98,0,0,0,0,0,6.87,0.98,0.98,0,9.82,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,1.06,1.06,0,0,0,0,0,0,0,6.37,0,0,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.56,0,0,4.37,1.09,0,0,1.09,0,0,0,1.09,5.46,0,0,0,7.65,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,1.53,3.06,0,0,0,0,0,0,0.77,0,0,0,0,1.53,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
