stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,1,1,0,0,0,1,0,0,0,0,0,0,11,0,1,0,2,2,2,0,0
 24-34,0,0,2.46,0,0,2.46,0,0,0,0.82,2.46,0,2.46,22.98,0,0,4.93,0,0,13.95,0,1.64
 36-46,0,0,4.83,0,0,2.42,0,0,0,0,2.42,0,0,19.34,0,0,4.83,0,0,8.06,0,0
 48-58,0,0,2.3,0,0.57,4.59,0,0,0,0,2.3,0,0.57,13.2,0,0,0.57,0,0,7.46,0,0
 60-70,0,0,6.87,0,0,2.94,0,0,0,0,1.96,0,0,7.85,0,0,0,0,0,3.93,0,0.98
 72-82,1.96,0,8.83,0,0,10.8,0,0,0.98,0,5.89,0.98,0.98,12.76,0,0,0,0,0,1.96,0.98,0
 84-94,0,1.06,9.56,0,0,11.68,0,1.06,0,0,0,0,1.06,5.31,0,0,8.5,0,0,2.12,0,0
 96-106,0,1.09,5.46,1.09,0,6.56,0,0,1.09,0,0,0,0,4.37,0,0,3.28,0,0,1.09,0,0
108-118,0,0,6.89,0,0,9.19,0.77,0,0,0,0.77,0,0.77,5.36,0.77,0,0,0,0,0.77,0.77,0
120,0,0,0,0,0,7.84,0,0,0,0,0,0,0,7.84,0,0,1.96,0,0,0,0,0
