stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,18.88,0,0,0,0,1.64,0,0
 36-46,0,0,0.81,0,4.83,0,0,0,0.81,0,0,4.03,0,0,1.61,17.72,0,0,0,0,4.03,0,0.81
 48-58,0,0,0,0,4.59,0,0,1.15,0,0,0,1.15,0,0,0,4.59,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,1.96,0,0,0,0,0,0,2.94,0,0,0.98,9.82,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,4.91,0,0,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,2.12,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,1.09,1.09,0,0,1.09,1.09,1.09,0,0,0,1.09,1.09,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,1.53,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0
