stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,158.14,3070.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.61,0,0,0,0,0,0,0
  5-6,110.33,711.04,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,527.15,0,0,0,0,0,0,0
  7-9,18.4,10.51,0,10.51,0,0,10.51,0,0,0,107.78,0,0,0,0,0,0,0,0,0,123.55,7.89,0,0,31.54,0,84.12,7.89,0,0,0,0,0,0
 10-12,0,0,0,28.32,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,0,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,1,9,22,0,1,0,0,3,0,0,4,0,0,0,2,0,0,0,5,0,0,4,0,0,47,0,24,0,1,0,0,0
 24-34,0,0,0,4.1,10.67,0,1.64,2.46,0,3.28,1.64,0,21.34,0.82,4.93,0,0.82,24.63,0,0,9.85,0,3.28,0.82,0,0,251.18,0,9.03,1.64,0.82,0,0,0
 36-46,0,0,0,0,4.03,0,0.81,0.81,0,2.42,0,0,13.7,1.61,2.42,0,0,29,0,0,7.25,0,4.83,0.81,0,0,225.59,0.81,3.22,0,1.61,0,0,0.81
 48-58,0,0,0,0.57,5.74,0,1.72,1.15,0,1.15,0,0,2.87,0.57,8.61,0.57,1.15,29.84,0,0.57,7.46,0,2.3,0.57,0,0,139.43,0,1.72,0,0.57,0,0,0
 60-70,0,0,0,0,10.8,0,1.96,4.91,0.98,4.91,0,0,7.85,4.91,9.82,0,0.98,30.43,0,0,13.74,0,2.94,2.94,0,0,197.29,0,0.98,0,0.98,0.98,0,0.98
 72-82,0,0,0,2.94,13.74,1.96,1.96,2.94,0,8.83,0,0,9.82,4.91,7.85,0,1.96,43.19,0,0,5.89,0.98,0.98,2.94,0,0,107,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,12.74,0,1.06,11.68,0,12.74,0,1.06,12.74,4.25,7.43,0,2.12,42.48,0,0,6.37,0,5.31,5.31,0,1.06,323.92,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,3.28,40.44,2.19,1.09,2.19,1.09,14.21,0,0,22.95,9.84,10.93,0,0,41.53,0,0,6.56,0,13.11,3.28,0,0,250.26,0,0,0,0,3.28,1.09,0
108-118,0,0,0,3.06,42.13,0,0.77,6.89,0,11.49,0,0,13.02,9.96,12.26,0,1.53,38.3,0,0,7.66,0,9.19,0.77,0,0,206.81,0,0.77,0,0,5.36,0,0
120,0,0,1.96,0,56.83,1.96,0,3.92,0,5.88,0,0,5.88,1.96,9.8,0,5.88,29.4,1.96,0,13.72,0,3.92,1.96,0,0,190.1,0,1.96,0,1.96,0,0,0
