stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1,12,0,0,0,0,0,0,4,0,0,8,0,0,0,0
 24-34,0,0,5.75,0,3.28,0,0,0,0,0,0.82,0,0,0,0,1.64,0.82,0,2.46,30.37,0,1.64,0,0,0,0.82,0,2.46,0.82,8.21,0,0,0,0.82
 36-46,0,0,0.81,0,7.25,0,0,2.42,0,0,0,0,0,0,0.81,3.22,0,0,0,25.78,0,1.61,0.81,0,0,4.83,0,1.61,0,4.03,0,0,0.81,0
 48-58,0,0,0,0,10.33,0,0.57,6.31,0.57,0.57,0,0,0,0,0,2.87,0,0,0,17.79,0,3.44,0,0,0,2.87,0,0,0,3.44,0,0.57,0,0
 60-70,0,0.98,0.98,0,24.54,0,1.96,15.7,0,0,0,0,0,0,0.98,3.93,0,0,0,30.43,0.98,3.93,0.98,0,0,5.89,0,0,0,5.89,0,0.98,0.98,0.98
 72-82,0,0,0,0.98,15.71,0,0,16.69,0,0,0,1.96,0,0.98,0,8.83,0,0,0,13.74,0,1.96,0,0,0,2.94,0,0.98,0,0,1.96,0,0,0.98
 84-94,0,0,1.06,0,7.43,0,0,5.31,0,1.06,0,0,0,0,1.06,1.06,0,0,0,7.43,0,0,0,0,1.06,5.31,0,0,0,0,0,0,0,0
 96-106,0,1.09,3.28,2.19,7.65,0,2.19,4.37,0,1.09,0,0,1.09,0,1.09,4.37,0,1.09,0,8.74,0,3.28,0,0,0,7.65,0,1.09,0,0,2.19,0,1.09,0
108-118,0,0,0.77,0,4.6,0.77,0,4.6,0,0.77,0,0.77,0.77,0,0,0.77,0,0,0.77,9.19,0,2.3,0,0,0,6.13,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,0,0,0,3.92,0,1.96,0,0,1.96,0,0,1.96,0,0,0,7.84,0,0,1.96,0,0,11.76,0,0,0,0,0,0,0,0
